post_id,postUser,timestamp,clean_caption,combined_tokens,likesCount,commentsCount,keywords_tfidf,keywords_freq,keywords_weighted
546,facehunter,2023-04-12 17:30:09+00:00,baghdad iraqi modernist architecture 🤍🖤 roaming around such a major city that despite how famous it is i had no idea how it would look like before stepping here what a feeling one type of aesthetics clearly dominates the urbanscape contemporary oriental shapes they are everywhere amazed by how iraqi modernists worked on abstracting the heritage elements in so many ways baghdad is filled with modernist and brutalist buildings from the 1960s to 1980s inspired by islamicarchitecture shapes reminiscent of islamic arches and occasionally by the volume of ziggurats these massive mesopotamian terraced structures it s an old but modern city more construction took place in baghdad during the second half of the 20th century than at any time since its foundation in the 8th century after centuries of ottoman and then british rule and after deposing its british backed monarchy in 1958 post colonial iraq with a growing westernised elite faced an important question in its urban planning how would it build a modern nation without sacrificing its national identity 1 ministry of agriculture 2 al mansur neighbourhood 3 al salihiya residential complex 1984 4 al wathba square mural representing hafidh al droubi s watermelon sellers 1969 5 ministry of foreign affairs 6 central post telegraph and telephone administration 1972 by rifatchadirji 7 baghdad waters directorate by hishammunir nasir al asadi 1978 8 baghdad city hall by hisham munir nasir al asadi 1975 9 al bataween neighbourhood 10 ministry of industry and minerals by fadhil ajina facades brutalism brutalistarchitecture archi baghdadarchitecture archidaily architexture archilovers baittarkib visitbaghdad visitiraq travel travelphotography traveler travelling instatravel traveling travels travelholic facehunteriraq traveltoiraq,"['baghdad', 'iraqi', 'modernist', 'architecture', 'roaming', 'around', 'major', 'city', 'despite', 'famous', 'idea', 'would', 'look', 'like', 'stepping', 'feeling', 'one', 'type', 'aesthetics', 'clearly', 'dominates', 'urbanscape', 'contemporary', 'oriental', 'shapes', 'everywhere', 'amazed', 'iraqi', 'modernists', 'worked', 'abstracting', 'heritage', 'elements', 'many', 'ways', 'baghdad', 'filled', 'modernist', 'brutalist', 'buildings', '1960s', '1980s', 'inspired', 'islamicarchitecture', 'shapes', 'reminiscent', 'islamic', 'arches', 'occasionally', 'volume', 'ziggurats', 'massive', 'mesopotamian', 'terraced', 'structures', 'old', 'modern', 'city', 'construction', 'took', 'place', 'baghdad', 'second', 'half', '20th', 'century', 'time', 'since', 'foundation', '8th', 'century', 'centuries', 'ottoman', 'british', 'rule', 'deposing', 'british', 'backed', 'monarchy', '1958', 'post', 'colonial', 'iraq', 'growing', 'westernised', 'elite', 'faced', 'important', 'question', 'urban', 'planning', 'would', 'build', 'modern', 'nation', 'without', 'sacrificing', 'national', 'identity', '1', 'ministry', 'agriculture', '2', 'al', 'mansur', 'neighbourhood', '3', 'al', 'salihiya', 'residential', 'complex', '1984', '4', 'al', 'wathba', 'square', 'mural', 'representing', 'hafidh', 'al', 'droubi', 'watermelon', 'sellers', '1969', '5', 'ministry', 'foreign', 'affairs', '6', 'central', 'post', 'telegraph', 'telephone', 'administration', '1972', 'rifatchadirji', '7', 'baghdad', 'waters', 'directorate', 'hishammunir', 'nasir', 'al', 'asadi', '1978', '8', 'baghdad', 'city', 'hall', 'hisham', 'munir', 'nasir', 'al', 'asadi', '1975', '9', 'al', 'bataween', 'neighbourhood', '10', 'ministry', 'industry', 'minerals', 'fadhil', 'ajina', 'facades', 'brutalism', 'brutalistarchitecture', 'archi', 'baghdadarchitecture', 'archidaily', 'architexture', 'archilovers', 'baittarkib', 'visitbaghdad', 'visitiraq', 'travel', 'travelphotography', 'traveler', 'travelling', 'instatravel', 'traveling', 'travels', 'travelholic', 'facehunteriraq', 'traveltoiraq', 'white heart', 'black heart', 'baghdad', 'iraqi', 'modernist', 'architecture', 'urbanscape', 'brutalist', 'islamic', 'architecture', 'iraq', 'rifat', 'chadirji', 'hisham', 'munir', 'facades', 'brutalism', 'brutalistarchitecture', 'archi', 'baghdadarchitecture', 'archidaily', 'architexture', 'archilovers', 'baittarkib', 'visitbaghdad', 'visitiraq', 'travel', 'travelphotography', 'traveler', 'travelling', 'instatravel', 'traveling', 'travels', 'travelholic', 'facehunter', 'iraq']",1995,69,"['al', 'baghdad', 'ministry', 'modernist', 'iraqi']","['al', 'baghdad', 'iraqi', 'modernist', 'architecture']","['aesthetics', 'baghdad', 'iraqi', 'modernist', 'architecture']"
547,parisiensinparis,2023-04-16 07:57:02+00:00,bromance 🇫🇷 shotoniphone paris parisian parisien effortless style effortlesschic natural fashion denim denimmania parisianstyle leparisien laparisienne parisfashionweek pfw,"['bromance', '🇫🇷', 'shotoniphone', 'paris', 'parisian', 'parisien', 'effortless', 'style', 'effortlesschic', 'natural', 'fashion', 'denim', 'denimmania', 'parisianstyle', 'leparisien', 'laparisienne', 'parisfashionweek', 'pfw', 'shot', 'on', 'iphone', 'paris', 'parisian', 'parisien', 'effortless', 'style', 'effortless', 'chic', 'natural', 'fashion', 'denim', 'denim', 'mania', 'parisian', 'style', 'le', 'parisien', 'la', 'parisienne', 'paris', 'fashion', 'week', 'pfw']",26239,82,"['parisien', 'parisian', 'effortless', 'denim', 'paris']","['paris', 'parisian', 'parisien', 'effortless', 'style']","['parisfashionweek', 'parisianstyle', 'pfw', 'paris', 'parisian']"
548,facehunter,2023-02-25 15:59:21+00:00,milano 🇮🇹 veni vidi streetstyli laid over in milan during fashionweek and met 1 2 martino martinocarrera fashion writer 3 4 venita venitaraquel model 5 khrystyna krisshyn model 6 anna annaanne_ahn model streetstyle style styleinspiration stylefashion styleinspo mensfashion mensstyle modelstyle milanstyle milanfashion milanfashionweek italia italy facehuntermilan,"['milano', '🇮🇹', 'veni', 'vidi', 'streetstyli', 'laid', 'milan', 'fashionweek', 'met', '1', '2', 'martino', 'martinocarrera', 'fashion', 'writer', '3', '4', 'venita', 'venitaraquel', 'model', '5', 'khrystyna', 'krisshyn', 'model', '6', 'anna', 'annaanne_ahn', 'model', 'streetstyle', 'style', 'styleinspiration', 'stylefashion', 'styleinspo', 'mensfashion', 'mensstyle', 'modelstyle', 'milanstyle', 'milanfashion', 'milanfashionweek', 'italia', 'italy', 'facehuntermilan', 'milano', 'milan', 'fashionweek', 'streetstyle', 'style', 'styleinspiration', 'stylefashion', 'styleinspo', 'mensfashion', 'mensstyle', 'modelstyle', 'milan', 'style', 'milan', 'fashion', 'milan', 'fashion', 'week', 'italia', 'italy', 'facehunter', 'milan']",812,27,"['milan', 'model', 'fashionweek', 'mensstyle', 'italy']","['milan', 'fashion', 'model', 'style', 'milano']","['milanfashionweek', 'fashionweek', 'milanstyle', 'milanfashion', 'milano']"
549,harrystyles,2023-03-01 05:11:54+00:00,love on tour gold coast february 2023,"['love', 'tour', 'gold', 'coast', 'february', '2023']",4658051,39562,"['coast', 'february', 'gold', 'tour', 'love']","['love', 'tour', 'gold', 'coast', 'february']","['2023', 'love', 'tour', 'gold', 'coast']"
550,parisiensinparis,2023-04-16 07:03:45+00:00,🇫🇷 shotoniphone paris parisian parisien effortless style effortlesschic natural fashion denim denimmania parisianstyle leparisien laparisienne parisfashionweek pfw,"['🇫🇷', 'shotoniphone', 'paris', 'parisian', 'parisien', 'effortless', 'style', 'effortlesschic', 'natural', 'fashion', 'denim', 'denimmania', 'parisianstyle', 'leparisien', 'laparisienne', 'parisfashionweek', 'pfw', 'shot', 'on', 'iphone', 'paris', 'parisian', 'parisien', 'effortless', 'style', 'effortless', 'chic', 'natural', 'fashion', 'denim', 'denim', 'mania', 'parisian', 'style', 'le', 'parisien', 'la', 'parisienne', 'paris', 'fashion', 'week', 'pfw']",7610,40,"['parisien', 'parisian', 'effortless', 'denim', 'paris']","['paris', 'parisian', 'parisien', 'effortless', 'style']","['parisfashionweek', 'parisianstyle', 'pfw', 'paris', 'parisian']"
551,facehunter,2023-04-24 14:08:42+00:00,baghdad 🇮🇶 🚴🏽 🎨 marina marina_zayed started to ride her bicycle through the capital of iraq in 2016 as an artproject during tarkib_baghdad festival her pictures went viral and inspired many people men and women to join her for rides in the city marina still organises group bike rides the idea came to me when i first moved out of baghdad and saw bike rentals my husband suggested to take a ride and i said i don t know how to ride a bike he told me you did it before as a kid and it is something you don t forget i went on it and it felt so amazing because it was something i couldn t do for years i was told off doing it as a woman and when i tried again i felt free and didn t like the feeling at the same time because i was so proud of myself i was telling myself it s just a bike i shouldn t be proud i didn t like that my country took that little enjoyment that i had when i was little i was remembering my grandfather telling me not to i didn t understand why but i followed it was not even my bike it was my cousin s bike i didn t have a bike in my life the feeling i had that moment made me want to ride a bike in baghdad and i thought what s going to happen it s just because people stopped doing things and maybe we should do it again i bought a bike and brought it all over baghdad i remember the first time it was intense i was so scared i could hear my heart beats it felt so amazing i remember at a checkpoint i was riding my bike and i was so scared they wouldn t tell me off because it s not illegal but in my head it was something i shouldn t do i was riding and i saw him and i was trying to return i didn t want him to say anything what he did he opened the barrier and let me pass womenempowerment womenartists womanartist womanpower artist baghdadi baghdad_iraq baghdadiraq iraqiartist iraqipainting iraqiartists iraqbaghdad performanceart facehunteriraq,"['baghdad', '🇮🇶', 'marina', 'marina_zayed', 'started', 'ride', 'bicycle', 'capital', 'iraq', '2016', 'artproject', 'tarkib_baghdad', 'festival', 'pictures', 'went', 'viral', 'inspired', 'many', 'people', 'men', 'women', 'join', 'rides', 'city', 'marina', 'still', 'organises', 'group', 'bike', 'rides', 'idea', 'came', 'first', 'moved', 'baghdad', 'saw', 'bike', 'rentals', 'husband', 'suggested', 'take', 'ride', 'said', 'know', 'ride', 'bike', 'told', 'kid', 'something', 'forget', 'went', 'felt', 'amazing', 'something', 'years', 'told', 'woman', 'tried', 'felt', 'free', 'like', 'feeling', 'time', 'proud', 'telling', 'bike', 'proud', 'like', 'country', 'took', 'little', 'enjoyment', 'little', 'remembering', 'grandfather', 'telling', 'understand', 'followed', 'even', 'bike', 'cousin', 'bike', 'bike', 'life', 'feeling', 'moment', 'made', 'want', 'ride', 'bike', 'baghdad', 'thought', 'going', 'happen', 'people', 'stopped', 'things', 'maybe', 'bought', 'bike', 'brought', 'baghdad', 'remember', 'first', 'time', 'intense', 'scared', 'could', 'hear', 'heart', 'beats', 'felt', 'amazing', 'remember', 'checkpoint', 'riding', 'bike', 'scared', 'tell', 'illegal', 'head', 'something', 'riding', 'saw', 'trying', 'return', 'want', 'say', 'anything', 'opened', 'barrier', 'let', 'pass', 'womenempowerment', 'womenartists', 'womanartist', 'womanpower', 'artist', 'baghdadi', 'baghdad_iraq', 'baghdadiraq', 'iraqiartist', 'iraqipainting', 'iraqiartists', 'iraqbaghdad', 'performanceart', 'facehunteriraq', 'person biking', 'medium skin tone', 'artist palette', 'baghdad', 'bicycle', 'iraq', 'artproject', 'womenempowerment', 'womenartists', 'womanartist', 'womanpower', 'artist', 'baghdadi', 'baghdad', 'iraq', 'baghdadiraq', 'iraqiartist', 'iraqipainting', 'iraqiartists', 'iraqbaghdad', 'performanceart', 'facehunter', 'iraq']",1409,46,"['baghdad', 'ride', 'iraq', 'felt', 'something']","['bike', 'baghdad', 'ride', 'iraq', 'something']","['festival', 'baghdad', '🇮🇶', 'marina', 'marina_zayed']"
552,parisiensinparis,2023-04-13 13:40:05+00:00,🇫🇷🔥💕🌸 🕊 shotoniphone paris parisian parisien effortless style effortlesschic natural fashion denim denimmania parisianstyle leparisien laparisienne parisfashionweek pfw,"['🇫🇷', 'shotoniphone', 'paris', 'parisian', 'parisien', 'effortless', 'style', 'effortlesschic', 'natural', 'fashion', 'denim', 'denimmania', 'parisianstyle', 'leparisien', 'laparisienne', 'parisfashionweek', 'pfw', 'fire', 'two hearts', 'cherry blossom', 'dove', 'shot', 'on', 'iphone', 'paris', 'parisian', 'parisien', 'effortless', 'style', 'effortless', 'chic', 'natural', 'fashion', 'denim', 'denim', 'mania', 'parisian', 'style', 'le', 'parisien', 'la', 'parisienne', 'paris', 'fashion', 'week', 'pfw']",4974,8,"['parisien', 'parisian', 'effortless', 'denim', 'paris']","['paris', 'parisian', 'parisien', 'effortless', 'style']","['parisfashionweek', 'parisianstyle', 'pfw', 'paris', 'parisian']"
553,facehunter,2023-03-03 18:00:48+00:00,nicosia 🧡 looking for hope in the last divided capital 💞will love save cyprus 💞 turkishcypriots and greekcypriots couldn t meet with each other for decades but since the checkpoints opened in 2003 people started to fall in love with each other and they were some bi communal couples it happens to me as well a decade ago it was still something marginal but now it has become something more common it s part of our daily life especially for the people of nicosia unification of the island is our dream it s still a long way it should happen but first it s important that we become part of our personal lives social circles and romantic relationships love will save the world i understand why people think that after many years a peaceful but separated coexistence would be more manageable but i don t think cyprus is big enough for that especially with bigger problems that we are facing we have ecosystems being destroyed we have global warming we have diminishing resources we have crisis and violence all around the world cyprus is a small small place and it can become an example for a peaceful unification and more democratic ways of living i guess it s attainable it s just that people got used to think it s impossible after many years but it s not berandjemal for nearly a half century since 1974 the republic of cyprus 🇨🇾 and its capital nicosia have been split in two and separated by a un patrolled buffer zone while here i heard as many opinions on the cyprusproblem as people nevertheless there is a new generation of cypriots hoping that greeks and turks can come together 🕊 1 μιχάλης michalis 2 3 alya taurrusx 4 κάμπος kampos 5 mehmetemin memoland11 6 arzu arzugenc8 7 tayfun tyfnadem 8 bethel 9 father irinarochos or something similar 10 beran berandjemal cyprusdispute cyprusquestion cyprusconflict λευκωσία lefkosía lefkoşa κύπρος streetstyle style cypruslife cyprusisland travel travelphotography traveler traveler traveling travelling travellife instatravel facehuntercyprus,"['nicosia', 'looking', 'hope', 'last', 'divided', 'capital', 'love', 'save', 'cyprus', 'turkishcypriots', 'greekcypriots', 'meet', 'decades', 'since', 'checkpoints', 'opened', '2003', 'people', 'started', 'fall', 'love', 'bi', 'communal', 'couples', 'happens', 'well', 'decade', 'ago', 'still', 'something', 'marginal', 'become', 'something', 'common', 'part', 'daily', 'life', 'especially', 'people', 'nicosia', 'unification', 'island', 'dream', 'still', 'long', 'way', 'happen', 'first', 'important', 'become', 'part', 'personal', 'lives', 'social', 'circles', 'romantic', 'relationships', 'love', 'save', 'world', 'understand', 'people', 'think', 'many', 'years', 'peaceful', 'separated', 'coexistence', 'would', 'manageable', 'think', 'cyprus', 'big', 'enough', 'especially', 'bigger', 'problems', 'facing', 'ecosystems', 'destroyed', 'global', 'warming', 'diminishing', 'resources', 'crisis', 'violence', 'around', 'world', 'cyprus', 'small', 'small', 'place', 'become', 'example', 'peaceful', 'unification', 'democratic', 'ways', 'living', 'guess', 'attainable', 'people', 'got', 'used', 'think', 'impossible', 'many', 'years', 'berandjemal', 'nearly', 'half', 'century', 'since', '1974', 'republic', 'cyprus', '🇨🇾', 'capital', 'nicosia', 'split', 'two', 'separated', 'un', 'patrolled', 'buffer', 'zone', 'heard', 'many', 'opinions', 'cyprusproblem', 'people', 'nevertheless', 'new', 'generation', 'cypriots', 'hoping', 'greeks', 'turks', 'come', 'together', '1', 'μιχάλης', 'michalis', '2', '3', 'alya', 'taurrusx', '4', 'κάμπος', 'kampos', '5', 'mehmetemin', 'memoland11', '6', 'arzu', 'arzugenc8', '7', 'tayfun', 'tyfnadem', '8', 'bethel', '9', 'father', 'irinarochos', 'something', 'similar', '10', 'beran', 'berandjemal', 'cyprusdispute', 'cyprusquestion', 'cyprusconflict', 'λευκωσία', 'lefkosía', 'lefkoşa', 'κύπρος', 'streetstyle', 'style', 'cypruslife', 'cyprusisland', 'travel', 'travelphotography', 'traveler', 'traveler', 'traveling', 'travelling', 'travellife', 'instatravel', 'facehuntercyprus', 'orange heart', 'revolving hearts', 'revolving hearts', 'dove', 'nicosia', 'cyprus', 'turkish', 'cypriots', 'greek', 'cypriots', 'cyprus', 'problem', 'cypriots', 'cyprus', 'dispute', 'cyprus', 'question', 'cyprus', 'conflict', 'λευκωσία', 'lefkos', 'a', 'lefko', 'a', 'κύπρος', 'streetstyle', 'style', 'cypruslife', 'cyprusisland', 'travel', 'travelphotography', 'traveler', 'traveling', 'travelling', 'travellife', 'instatravel', 'facehunter', 'cyprus']",752,11,"['cyprus', 'cypriots', 'nicosia', 'people', 'become']","['cyprus', 'people', 'nicosia', 'cypriots', 'love']","['streetstyle', 'style', 'nicosia', 'looking', 'hope']"
554,harrystyles,2023-02-14 16:23:20+00:00,brits february 2023,"['brits', 'february', '2023']",4166577,27485,"['february', '2023']","['brits', 'february', '2023']","['2023', 'brits', 'february']"
555,facehunter,2023-04-22 16:31:21+00:00,old baghdad 🇮🇶 reminiscent of the 1920s to 1960s iraqi cultural boom in their glory alrasheed and mutanabi streets used to be home to baghdad s intelectual scene and nightlife with one of the world s oldest book markets cinemas photo 1 al zawraa built in 1936 was one of iraq s first cinemas theatres and cafés where writers artists politicians intellectuals and students would gather after nearly half a century of neglect under saddam hussein who saw the area as a symbol of past rulers and the monarchy and later during the war the historic hub is recently going through a cultural renaissance thanks to a better safety situation many iraqis from all generations are being drawn to this spot to buy books celebrate their cultural heritage or just hang out feels so good to be here oldbaghdad mutanabbi mutanabistreet iraq baghdad_iraq iraq🇮🇶 iraqesque iraqtravel traveliraq travel travelling travelphotography traveler traveling instatravel baghdadis baghdadistyle visitiraq travelawesome travelholic travellife travels travelingram travellife travelpics facehunteriraq,"['old', 'baghdad', '🇮🇶', 'reminiscent', '1920s', '1960s', 'iraqi', 'cultural', 'boom', 'glory', 'alrasheed', 'mutanabi', 'streets', 'used', 'home', 'baghdad', 'intelectual', 'scene', 'nightlife', 'one', 'world', 'oldest', 'book', 'markets', 'cinemas', 'photo', '1', 'al', 'zawraa', 'built', '1936', 'one', 'iraq', 'first', 'cinemas', 'theatres', 'cafés', 'writers', 'artists', 'politicians', 'intellectuals', 'students', 'would', 'gather', 'nearly', 'half', 'century', 'neglect', 'saddam', 'hussein', 'saw', 'area', 'symbol', 'past', 'rulers', 'monarchy', 'later', 'war', 'historic', 'hub', 'recently', 'going', 'cultural', 'renaissance', 'thanks', 'better', 'safety', 'situation', 'many', 'iraqis', 'generations', 'drawn', 'spot', 'buy', 'books', 'celebrate', 'cultural', 'heritage', 'hang', 'feels', 'good', 'oldbaghdad', 'mutanabbi', 'mutanabistreet', 'iraq', 'baghdad_iraq', 'iraq🇮🇶', 'iraqesque', 'iraqtravel', 'traveliraq', 'travel', 'travelling', 'travelphotography', 'traveler', 'traveling', 'instatravel', 'baghdadis', 'baghdadistyle', 'visitiraq', 'travelawesome', 'travelholic', 'travellife', 'travels', 'travelingram', 'travellife', 'travelpics', 'facehunteriraq', 'baghdad', 'iraqi', 'al', 'rasheed', 'mutanabi', 'old', 'baghdad', 'mutanabbi', 'mutanabistreet', 'iraq', 'baghdad', 'iraq', 'iraq', 'iraqesque', 'iraqtravel', 'traveliraq', 'travel', 'travelling', 'travelphotography', 'traveler', 'traveling', 'instatravel', 'baghdadis', 'baghdadistyle', 'visitiraq', 'travelawesome', 'travelholic', 'travellife', 'travels', 'travelingram', 'travelpics', 'facehunteriraq']",2719,42,"['iraq', 'baghdad', 'travellife', 'cultural', 'travelawesome']","['baghdad', 'iraq', 'cultural', 'travellife', 'old']","['baghdadistyle', 'old', 'baghdad', '🇮🇶', 'reminiscent']"
556,harrystyles,2023-02-07 03:26:37+00:00,grammys february 2023,"['grammys', 'february', '2023']",6415828,83042,"['february', '2023']","['grammys', 'february', '2023']","['2023', 'grammys', 'february']"
557,harrystyles,2023-02-02 21:33:23+00:00,love on tour palm springs ii february 2023,"['love', 'tour', 'palm', 'springs', 'ii', 'february', '2023']",4481353,29151,"['palm', 'springs', 'february', 'ii', 'tour']","['love', 'tour', 'palm', 'springs', 'ii']","['2023', 'love', 'tour', 'palm', 'springs']"
