post_id,postUser,timestamp,combined_tokens,likesCount,commentsCount,score_segtiment,keywords_comments,keywords_posts
11,maryleest,2023-05-26 12:43:54+00:00,"['last', 'red', 'carpet', 'cannes', 'asteroid', 'city', 'wes', 'anderson', 'dress', 'marmarhalim', 'tailored', 'saifffoux', 'jewelry', 'yessayan', 'monaelhajj2377', 'amarsana_style', 'hair', 'balmainhaircouture', 'makeup', 'narsissist', 'the_frntal_pr', 'brown heart']",27133,144,0.2840000000000001,"['fire', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['smiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['look', 'red_heart', 'amazing', 'beautiful', 'clapping_hands'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['fire', 'firefirefire', 'amazing', 'beautiful', 'clapping_hands'] ['fire', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['fire', 'firefirefire', 'amazing', 'beautiful', 'clapping_hands']","['jewelry', 'the_frntal_pr', 'dress', 'marmarhalim', 'yessayan', 'carpet', 'cannes', 'amarsana_style', 'last', 'asteroid', 'balmainhaircouture', 'red', 'brown']"
12,stephaniebroek,2023-05-31 18:38:50+00:00,"['villa', 'magnan', '33333']",725,30,0.29500000000000004,"['smiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['love', 'amazing', 'beautiful', 'clapping_hands', 'de']","['villa', 'magnan', '33333']"
13,stephaniebroek,2023-05-23 18:51:43+00:00,"['feminine', 'urge', 'reinvent', 'change', 'seasons', 'himichelleli', 'recently', 'talked', 'scared', 'closet', 'felt', 'weird', 'body', 'relate', 'atm', 'tried', 'familiarize', 'clothing', 'took', 'vintage', 'skincare', 'magazine', 'date', 'obsessed', 'silver', 'archival', 'escada', 'jacket', 'capri', 'pleats', 'theceiling', 'shop', 'wowed', 'san', 'serriffe', 'selection', 'books', 'magazine', 'promised', 'never', 'leave', 'house', 'without', 'applying', 'paulaschoicenl', 'new', 'spf50', 'ever']",1618,37,0.020000000000000004,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] [] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","['magazine', 'urge', 'scared', 'change', 'vintage', 'feminine', 'reinvent', 'archival', 'san']"
14,stephaniebroek,2023-05-24 18:27:22+00:00,"['never', 'searching', 'perfect', 'jeans', 'add', 'wardrobe', 'may', 'found', 'perfect', 'low', 'rise', 'subtle', 'y2k', 'wash', 'samsoesamsoe', '3', 'ad']",1271,47,0.25000000000000006,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['smiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['red_heartred_heartred_heart', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['love', 'amazing', 'beautiful', 'clapping_hands', 'de']","['jeans', 'subtle', 'perfect', 'wash', 'y2k', 'never', 'searching', 'add', 'low']"
15,maryleest,2023-05-23 10:49:35+00:00,"['wearing', 'custom', 'couture', 'flower', 'dress', 'killers', 'flower', 'moon', 'cannes', 'film', 'festival', 'dress', 'tatyanakochnova_official', 'jewelry', 'hassanzadeh_jewelry', 'shoes', 'casadeiofficial', 'hair', 'balmainhaircouture', 'makeup', 'thetatithunder', 'narsissist', 'the_frntal_pr']",31144,163,0.3555555555555556,"['fire', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['fire', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['smiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['red_heartred_heartred_heart', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['smiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['red_heartred_heartred_heart', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['fire', 'amazing', 'beautiful', 'clapping_hands', 'de']","['custom', 'wearing', 'cannes', 'flower', 'dress', 'festival', 'thetatithunder', 'couture', 'killers']"
16,tinaabeysekara,2023-04-23 19:52:12+00:00,"['save', 'one', '1', 'white', 'tee', '6', 'effortless', 'looks', 'little', 'homage', 'uniqlo', 'u', 'crew', 'neck', 'tee', 'sponsored', 'good', 'basic', 'whitetshirtoutfits', 'uniqlo', 'weekendoutfit', 'smiling face with hearts', 'whitetshirtoutfits', 'uniqlo', 'weekendoutfit']",2364,71,0.3345,"['please', 'look', 'amazing', 'beautiful', 'clapping_hands'] ['love', 'please', 'amazing', 'beautiful', 'clapping_hands'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['like', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['love', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","['one', 'sponsored', 'crew', 'save', 'weekendoutfit', 'homage', 'basic', 'whitetshirtoutfits', 'tee', 'looks', 'uniqlo']"
17,stephaniebroek,2023-05-10 19:16:22+00:00,"['bc', 'cruise', 'morning', 'ce', 'cruise', 'era', 'would', 'worn', 'chanelofficial', 'tee', 'hotpants', 'high', 'cut', 'leg', 'bikini', 'bottoms', 'leg', 'warmers', 'hoops', 'trainers', 'cc', 'logo', 'dumbbells', 'suggested', 'virginieviard', 'chanelcruise', 'chanelshow', 'chanel', 'cruise', 'chanel', 'show']",1042,26,0.28900000000000003,"['love', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['love', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['fire', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['red_heart', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['fire', 'firefirefire', 'amazing', 'beautiful', 'clapping_hands'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","['leg', 'chanel', 'morning', 'cruise', 'chanelcruise', 'bc', 'chanelofficial', 'logo', 'show', 'chanelshow']"
18,stephaniebroek,2023-05-14 18:43:00+00:00,"['new', 'level', 'life', 'unlocked', 'motherhood', 'thank', 'making', 'mother', 'least', 'expected', 'curious', 'giggly', 'expressive', 'little', 'girl', 'wearing', 'future', 'heirloom', 'tiffany', 'lock', 'bracelet', 'one', 'day', 'tiffanyandco', 'tiffanyandco', 'tiffanylock', 'tiffany_blauw', 'locked', 'tiffany', 'and', 'co', 'tiffany', 'lock']",4162,234,0.35777777777777786,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['red_heartred_heartred_heart', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['red_heart', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['smiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['smiling_face_with_hearteyessmiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['smiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands', 'de']","['new', 'unlocked', 'level', 'lock', 'tiffanyandco', 'expressive', 'wearing', 'least', 'life', 'tiffany']"
19,stephaniebroek,2023-05-07 18:25:02+00:00,"['caprani', 'gubiofficial']",1396,44,0.18000000000000005,"['smiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['clapping_hands', 'amazing', 'beautiful', 'de', 'fire'] ['red_heartred_heartred_heart', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","['gubiofficial', 'caprani']"
20,stephaniebroek,2023-05-05 14:37:51+00:00,"['something', 'blue', '3']",1804,47,0.335,"[] [] ['love', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['love', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['smiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['red_heart', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['red_heartred_heartred_heart', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['fire', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","['something', 'blue', '3']"
