post_id,timestamp,postUser,caption,hashtags,likesCount,commentsCount,important_words,consolidated_text
641,2023-05-25 12:25:15+00:00,prada,"A first of its kind.  adidas Football for Prada presents specially engineered boots thatcombine the sophisticated codes of Prada and the high-performance football technologies unique to adidas, reimagining top styles Predator. Accuracy, Copa Pure, and X Crazyfast.  Discover more via link in bio.  #adidasforPrada #Prada #adidasfootball","adidasforPrada, Prada, adidasfootball",27420,88,"['prada', 'its', 'top', 'of', 'to']",a first of its kind adidas football for prada presents specially engineered boots thatcombine the sophisticated codes of prada and the high performance football technologies unique to adidas reimagining top styles predator accuracy copa pure and x crazyfast discover more via link in bio adidasforprada prada adidasfootball pradagalleria prada adidasforprada adidasfootball is this what u sent to sana red_heart red_heart adidasforPrada Prada adidasfootball
642,2023-03-14 17:38:06+00:00,parisfashionweek,"@stephane_ashpool, founder of Pigalle, is appointed as the Artistic Director and Senior Designer w/ Le Coq Sportif to dress the athletes of the French teams for the Summer Olympics and Paralympics in Paris in 2024.  #HorizonParis2024 @paris2024 #Paris2024  #EquipedeFrance @equipefra #Olympics2024 @olympics #Paralympics2024 #lecoqsportif @lecoqsportif #UneSeuleEquipe","HorizonParis2024, Paris2024, EquipedeFrance, Olympics2024, Paralympics2024, lecoqsportif, UneSeuleEquipe",1320,17,"['store', 'paris', 'smiling_face_with_heart', 'eyes', 'you']",stephane_ashpool founder of pigalle is appointed as the artistic director and senior designer w le coq sportif to dress the athletes of the french teams for the summer olympics and paralympics in paris in horizonparis paris paris equipedefrance equipefra olympics olympics paralympics lecoqsportif lecoqsportif uneseuleequipe looks very good i love the spirit of the outfit fire clapping_hands smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes clapping_hands clapping_hands clapping_hands askm kapsmak sandm hello dear waving_hand hope you have a wonderful day i m a market researcher at shein and we re looking for people who want to be a store owner on our platform for free smiling_face we will provide you with all the necessary materials to open an online store on our platform that is a really fantastic offer and you can earn a lot of money as a second job hugging_face do you want to be a owner of shein shop store owning a shein online store is cool assets and will bring you much profits therefore if you are interested please let us know and we re willing to answer all of your questions in detail speech_balloon speech_balloon speech_balloon have a great day smiling_face_with_smiling_eyes cityscape_at_dusk knot fire fire fire red_heart red_heart red_heart smiling_face_with_heart eyes smiling_face_with_heart eyes HorizonParis2024 Paris2024 EquipedeFrance Olympics2024 Paralympics2024 lecoqsportif UneSeuleEquipe
643,2022-12-04 17:10:40+00:00,harrystyles,"Love On Tour. Buenos Aires I. December, 2022.",,3714902,28791,"['te', 'de', 'fire', 'esta', 'dia']",love on tour buenos aires i december te amo necesito revivir ese dia blue_heart come back me haces falta volve estoy llorando en mi cama recordando esto gracias harry por hacer de esta noche la mejor de mi vida ojala pueda verte pronto sparkling_heart i miss you all the time hola te extrano pensive_face volve no te fajo mas fire fire fire 
644,2023-05-26 10:10:33+00:00,prada,"Scarlett Johansson, face of the current #PradaGalleria handbag campaign, wore Prada while attending the 76th Cannes film festival.  Scarlett Johansson wore a petal pink and white scuba fabric dress embellished with a micro embroidery of beads and rhinestones paired with silver-colored brushed sandals, while attending the ‘Asteroid City’ premiere, during the 76th Cannes film Festival.  Scarlett Johansson wore a multi-striped drill custom Prada dress from Spring / Summer 2011 collection and Black satin sandals, while attending the ‘Asteroid City’ photocall, during the 76th Cannes film Festival.  Scarlett Johansson wore a fern green satin mini dress paired with a white jersey top, silver brushed leather clutch and white brushed leather sandals, while attending the Warner Brothers Discovery Party, during the 76th Cannes film festival.  #PradaPeople #ScarlettJohansson  @festivaldecannes #Cannes2023","PradaGalleria, PradaPeople, ScarlettJohansson, Cannes2023",53214,185,"['cannes', 'wore', 'film', 'festival', 'while']",scarlett johansson face of the current pradagalleria handbag campaign wore prada while attending the th cannes film festival scarlett johansson wore a petal pink and white scuba fabric dress embellished with a micro embroidery of beads and rhinestones paired with silver colored brushed sandals while attending the asteroid city premiere during the th cannes film festival scarlett johansson wore a multi striped drill custom prada dress from spring summer collection and black satin sandals while attending the asteroid city photocall during the th cannes film festival scarlett johansson wore a fern green satin mini dress paired with a white jersey top silver brushed leather clutch and white brushed leather sandals while attending the warner brothers discovery party during the th cannes film festival pradapeople scarlettjohansson festivaldecannes cannes red_heart red_heart red_heart pink_heart orange_heart black_heart white_heart yellow_heart green_heart prada clapping_hands a segunda opcao e melhor red_heart pretty woman but awful dresses woman_facepalming smiling_face_with_heart eyes smiling_face_with_heart eyes red_heart red_heart smiling_face_with_heart eyes awful dresses truly says smiling_face_with_heart eyes PradaGalleria PradaPeople ScarlettJohansson Cannes2023
645,2023-05-13 20:49:14+00:00,prabalgurung,"As a co-founder and board member of @goldhouseco this weekend’s #goldgala was inspiring and impactful. It kicked off with letters from the @whitehouse and rest as they say is history ( next two posts you will get a glimpse of it).  Thank you, @POTUS and @VP @KamalaHarris for recognizing @GoldHouseCo’s leadership in changing how the Asian Pacific diaspora is seen, invested in, and championed. Gold House has led cultural change across our community with measurably impactful work that brings profound joy to all who touch it. They were instrumental in the success of films from Crazy Rich Asians to Parasite to Everything Everywhere All At Once through both success and celebration (helping ensure a successful opening, the first to award the cast at the inaugural Gold Gala, and were critical to the awards campaign that’s since made history!). Further, they help founders build their own houses for econmic change with the largest top Asian Pacific founder network and definitive fund, Gold House Ventures, whose investors are the most influential Asian founders of the last decade.   I was particularly excited for my dear friends Agnes Chu and Nina Yang Bongiovi to announce the new Gold House Creative Equity Fund, a $10 million studio-inspired fund that will help filmmakers make soundtracks and musicians hit the runway across multiple creative categories, accelerators, investments, and mainstream promotion.   From Gold Gala: “We have reshaped public opinion by consulting on more than 100 Asian Pacific-led films and series from casting to storylines to product placement; invested in the next generation of talent, and ensured the debut success of more than two dozen Asian Pacific-led creative projects. Further, we have invested an additional $10 million in 68 companies and placed 30 diverse Board Directors to help shatter the glass ceiling.”   To the entire team of Goldhouse esp @jeremyntran @bingchen congratulations!!!",goldgala,8756,34,"['gold', 'and', 'the', 'to', 'house']",as a co founder and board member of goldhouseco this weekend s goldgala was inspiring and impactful it kicked off with letters from the whitehouse and rest as they say is history next two posts you will get a glimpse of it thank you potus and vp kamalaharris for recognizing goldhouseco s leadership in changing how the asian pacific diaspora is seen invested in and championed gold house has led cultural change across our community with measurably impactful work that brings profound joy to all who touch it they were instrumental in the success of films from crazy rich asians to parasite to everything everywhere all at once through both success and celebration helping ensure a successful opening the first to award the cast at the inaugural gold gala and were critical to the awards campaign that s since made history further they help founders build their own houses for econmic change with the largest top asian pacific founder network and definitive fund gold house ventures whose investors are the most influential asian founders of the last decade i was particularly excited for my dear friends agnes chu and nina yang bongiovi to announce the new gold house creative equity fund a million studio inspired fund that will help filmmakers make soundtracks and musicians hit the runway across multiple creative categories accelerators investments and mainstream promotion from gold gala we have reshaped public opinion by consulting on more than asian pacific led films and series from casting to storylines to product placement invested in the next generation of talent and ensured the debut success of more than two dozen asian pacific led creative projects further we have invested an additional million in companies and placed diverse board directors to help shatter the glass ceiling to the entire team of goldhouse esp jeremyntran bingchen congratulations ur collection is beautiful outstanding fire fire fire __billboardrecord p_button o_button_ blood_type o_button_ blood_type o_button_ blood_type __billboardrecord p_button o_button_ blood_type o_button_ blood_type o_button_ blood_type __billboardrecord johnny suh looking fine red_heart red_heart red_heart clapping_hands clapping_hands clapping_hands clapping_hands clapping_hands my johnny red_heart i just love your all work sir i had seen you ad in newspaper that time i feel so proud i was just years old now you are just amazing in your way smiling_face_with_hearts smiling_face_with_hearts smiling_face_with_hearts smiling_face_with_hearts johnny suh green_heart goldgala
646,2022-02-07 01:16:00+00:00,zendaya,"In an interview I was asked about Rue’s journey this season, I guess this is what I hope we hold onto and are left with in the end…  Episode 5 tonight",,9660689,22249,"['her', 'what', 'season', 'and', 'through']",in an interview i was asked about rue s journey this season i guess this is what i hope we hold onto and are left with in the end episode tonight haha your turn for breakfast when s season coming out i ll always be supporting your awesome journey forever you like getting on my nerves i literally relate to the show especially rue and what she goes through crying_face i loved rue since i first had an encounter with euphoria and i love her no matter what and i will continue going with her through her journey i love you red_heart te amo smiling_face_with_heart eyes mariahh_infinite yeah i was on h years especially the withdrawls scene is so accurate i can still feel the pain and zendaya played it soo good 
647,2023-05-28 14:50:50+00:00,spfw,"Atenção à programação de hoje, último dia de SPFW! ♥️  #spfw #spmdet #prefsp #ÉdaSuaVida #iguatemiSPFW #soudealgodao #moda #criatividade #empreendedorismo #modaearte #spfworigens #sousenacmoda #senacmoda #komplexotempo #diversidade #sustentabilidade #Localiza #LocalizaEmMovimento #PráVocêChegarLá #YPEnoSPFW #AndJustLikeThat #NasEscadasdaCarrie","spfw, spmdet, prefsp, ÉdaSuaVida, iguatemiSPFW, soudealgodao, moda, criatividade, empreendedorismo, modaearte, spfworigens, sousenacmoda, senacmoda, komplexotempo, diversidade, sustentabilidade, Localiza, LocalizaEmMovimento, PráVocêChegarLá, YPEnoSPFW, AndJustLikeThat, NasEscadasdaCarrie",666,14,"['clapping_hands', 'spfw', 'smiling_face_with_hearts', 'andjustlikethat', 'soudealgodao']",atencao a programacao de hoje ultimo dia de spfw heart_suit spfw spmdet prefsp edasuavida iguatemispfw soudealgodao moda criatividade empreendedorismo modaearte spfworigens sousenacmoda senacmoda komplexotempo diversidade sustentabilidade localiza localizaemmovimento pravocechegarla ypenospfw andjustlikethat nasescadasdacarrie compro ingresso walerio araujo clapping_hands clapping_hands clapping_hands clapping_hands clapping_hands smiling_face_with_hearts smiling_face_with_hearts smiling_face_with_hearts smiling_face_with_hearts clapping_hands clapping_hands clapping_hands clapping_hands clapping_hands clapping_hands clapping_hands clapping_hands clapping_hands smiling_face_with_heart eyes spfw spmdet prefsp ÉdaSuaVida iguatemiSPFW soudealgodao moda criatividade empreendedorismo modaearte spfworigens sousenacmoda senacmoda komplexotempo diversidade sustentabilidade Localiza LocalizaEmMovimento PráVocêChegarLá YPEnoSPFW AndJustLikeThat NasEscadasdaCarrie
648,2022-02-16 20:08:32+00:00,zendaya,New @maisonvalentino campaign 🎀 #ValentinoRendezVous,ValentinoRendezVous,12058900,24938,"['red_heart', 'so', 'two_hearts', 'my', 'cool']",new maisonvalentino campaign ribbon valentinorendezvous face_exhaling two_hearts two_hearts interesting style love red_heart good pic my nickelodeon queen my lab rat face_with_tears_of_joy so so sexy smiling_face_with_heart eyes red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart wow those are the best ever zendya is so cool ValentinoRendezVous
649,2023-05-24 14:01:06+00:00,urbanoutfitters,@Dickies for every mood and occassion this summer. Online now at UO–link in bio.,,1917,2,"['every', 'summer', 'now', 'link', 'bio']",dickies for every mood and occassion this summer online now at uo link in bio  
650,2023-04-21 08:08:17+00:00,milanfashionweek,"@louisvuitton presents the latest additions to the Objets Nomades collection of inventive and functional furniture and design objects part of Milano Moda Design calendar.  For this year’s Milan Design Week, Louis Vuitton unveiled the new Objets Nomades within a specially designed space in the historic Palazzo Serbelloni.",,4130,18,"['design', 'il', 'fire', 'da', 'the']",louisvuitton presents the latest additions to the objets nomades collection of inventive and functional furniture and design objects part of milano moda design calendar for this year s milan design week louis vuitton unveiled the new objets nomades within a specially designed space in the historic palazzo serbelloni red_heart fire fire fire fire red_heart clapping_hands red_heart red_heart cobogo walls will conquer the world brazil as they are pure beauty and freshness smiling_face_with_heart eyes smiling_face_with_heart eyes beautiful glowing_star raising_hands chi sa indirizzarmi sulle location da visitare domani per il fuori salone a milano vie brand appuntamenti da non perdere dive trovo il calendario grazie 
651,2023-05-07 12:19:24+00:00,watchingnewyork,"May archives   This has nothing to do with Street fashion but you know what movie is tremendous, “Ghost” (1990)  From the moment it starts until it ends it’s just 👏👏👏  #streetfashion #fashion #street #NYC  #nycfashion #spring #springfashion #fashiontrends #fallfashion #newyorkcity #style #streetstyle #vintage #thrift","streetfashion, fashion, street, NYC, nycfashion, spring, springfashion, fashiontrends, fallfashion, newyorkcity, style, streetstyle, vintage, thrift",45642,219,"['street', 'fashion', 'springfashion', 'slide', 'it']",may archives this has nothing to do with street fashion but you know what movie is tremendous ghost from the moment it starts until it ends it s just clapping_hands clapping_hands clapping_hands streetfashion fashion street nyc nycfashion spring springfashion fashiontrends fallfashion newyorkcity style streetstyle vintage thrift amo manhattan sus gentes su libertad statue_of_liberty slide for me smiling_face_with_heart eyes red_heart the woman on the th slide is wearing a cardigan as a two piece genius clowns wondering why you didn t tag pharrell dude it s pharrell of all people to tag for fashion and you don t tag him face_with_tears_of_joy ewe ewe ewe ewe ewe ewe ewe not a shred of testosterone in the first dude nerds they re like i m from ny we can fucking tell rolling_on_the_floor_laughing streetfashion fashion street NYC nycfashion spring springfashion fashiontrends fallfashion newyorkcity style streetstyle vintage thrift
652,2022-02-15 05:20:25+00:00,zendaya,🥺   @thecut @micaiahcarter,,13825519,19950,"['face_with_tears_of_joy', 'all', 'are', 'pleading_face', 'beauty']",pleading_face thecut micaiahcarter beauty gang s victory_hand y all are all so photogenic samne vali meri face_with_tears_of_joy face_with_tears_of_joy gals fak u sparkles white_heart red_heart mels_backnow yet latinas are also very mixed race 
653,2023-05-23 14:01:30+00:00,urbanoutfitters,You enjoying the weather in UO. #uocommunity  📸: @fitsbyd_ @ellenduguid @trinityalyce + @uo_pittsburgh @gillsinspo @georgwhite @xxnnhii,uocommunity,4765,22,"['heart_hands', 'camera_with_flash', 'red_heart', 'you', 'much']",you enjoying the weather in uo uocommunity camera_with_flash fitsbyd_ ellenduguid trinityalyce uo_pittsburgh gillsinspo georgwhite xxnnhii thank you so much for the feature red_heart red_heart red_heart adorable thats my bestie fitsbyd_ man_dancing_light_skin_tone face_with_hand_over_mouth mirror_ball white_heart omfg trinity heart_hands heart_hands face_screaming_in_fear smiling_face_with_heart eyes uocommunity
654,2023-02-18 17:23:50+00:00,leeoliveira,"@fashionweek The #StreetsAtNYFW is the gift that keeps on giving. Spotted #JuliaFox, @best.dressed, and more.","StreetsAtNYFW, JuliaFox,",801,15,"['clapping_hands', 'smiling_face_with_heart', 'fire', 'eyes', 'the']",fashionweek the streetsatnyfw is the gift that keeps on giving spotted juliafox best dressed and more so creative smiling_face_with_heart eyes fire smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes it s interesting to me how folks wearing cocktail dresses to the shows seem so much less interesting in terms of styling than folks who had to coordinate all the pieces of daywear prince andru kristenvbateman fire fire clapping_hands clapping_hands clapping_hands julia oh god whyyyyy monicamendes red_heart StreetsAtNYFW JuliaFox
655,2023-03-17 22:15:20+00:00,leeoliveira,"One trend in street style photography is imperfection photography, where photographers focus on capturing the unedited, raw and candid moments of the subjects.  Imperfection photography focuses on capturing the authenticity and natural beauty of the moment, rather than trying to perfect or enhance the images.",,441,27,"['the', 'natural', 'moment', 'on', 'trying']",one trend in street style photography is imperfection photography where photographers focus on capturing the unedited raw and candid moments of the subjects imperfection photography focuses on capturing the authenticity and natural beauty of the moment rather than trying to perfect or enhance the images cool these are beautiful smiling_face_with_heart eyes so beatific smiling_face_with_heart eyes cemssalih folded_hands smiling_face_with_smiling_eyes 
656,2023-03-18 15:04:35+00:00,parisiensinparis,Cosy morning ride   #ShotOnIphone#Paris#Parisian#Parisien#Effortless#Style#EffortlessChic#Natural#Fashion#Denim#DenimMania#ParisianStyle#LeParisien#LaParisienne#Maje#ParisFashionWeek#PFW,"ShotOnIphone, Paris, Parisian, Parisien, Effortless, Style, EffortlessChic, Natural, Fashion, Denim, DenimMania, ParisianStyle, LeParisien, LaParisienne, Maje, ParisFashionWeek, PFW",4261,3,"['face_blowing_a_kiss', 'natural', 'denim', 'parisfashionweek', 'pfw']",cosy morning ride shotoniphone paris parisian parisien effortless style effortlesschic natural fashion denim denimmania parisianstyle leparisien laparisienne maje parisfashionweek pfw what a beautiful photo red_heart red_heart face_blowing_a_kiss face_blowing_a_kiss face_blowing_a_kiss love your content join glamilyofficial to give exposure to collaboration with many of global brands face_blowing_a_kiss glamily is built to help great creators just like you turn their passion into successful careers dm for feature and collab smiling_face_with_heart eyes i miss france be there soon ShotOnIphone Paris Parisian Parisien Effortless Style EffortlessChic Natural Fashion Denim DenimMania ParisianStyle LeParisien LaParisienne Maje ParisFashionWeek PFW
657,2023-04-16 14:55:30+00:00,wheresmydriver,So #Revolve threw a party at #Coachella...even Lewis Hamilton showed up (in denim) and supermodels and singers and actresses and influencers. You get the picture... #revolvefestival,"Revolve, Coachella...even, revolvefestival",116,5,"['even', 'fire', 'and', 'smiling_face_with_heart', 'eyes']",so revolve threw a party at coachella even lewis hamilton showed up in denim and supermodels and singers and actresses and influencers you get the picture revolvefestival smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes love all the shop afrm pieces red_heart fire fire fire lewishamilton crown sparkles purple_heart lewis is in the house red_heart raising_hands fire Revolve Coachella...even revolvefestival
