post_id,commentUser,timestamp,polarity,sentiment,keywords_comments,keywords_posts,interaction_sequence
806,pepechongo,2021-02-12 05:51:01+00:00,0.7624,positive,"['years ago', 'tops', 'ago', 'v', 'denim']","['show', 'runway', 'prada', 'style', 'ss', 'oldprada', 'miuccialover', 'mens']","[{'post_id': 806, 'timestamp': Timestamp('2021-02-12 05:51:01+0000', tz='UTC'), 'polarity': 0.7624}]"
806,fadzyunos,2021-02-12 05:52:55+00:00,0.9738,positive,"['spectacular', 'men women', 'men', 'iconic', 'women']","['show', 'runway', 'prada', 'style', 'ss', 'oldprada', 'miuccialover', 'mens']","[{'post_id': 806, 'timestamp': Timestamp('2021-02-12 05:52:55+0000', tz='UTC'), 'polarity': 0.9738}]"
810,alantrowe,2021-02-12 05:55:14+00:00,0.9305,positive,"['clement', 'beautiful']","['prada', 'ss', 'oldprada', 'miuccialover', 'mens']","[{'post_id': 822, 'timestamp': Timestamp('2021-01-04 10:38:18+0000', tz='UTC'), 'polarity': 0.2468}, {'post_id': 823, 'timestamp': Timestamp('2021-01-04 10:39:08+0000', tz='UTC'), 'polarity': 0.0711}, {'post_id': 815, 'timestamp': Timestamp('2021-01-09 18:25:13+0000', tz='UTC'), 'polarity': 0.0711}, {'post_id': 816, 'timestamp': Timestamp('2021-01-09 18:26:00+0000', tz='UTC'), 'polarity': 0.0711}, {'post_id': 812, 'timestamp': Timestamp('2021-01-15 06:18:47+0000', tz='UTC'), 'polarity': 0.2216}, {'post_id': 819, 'timestamp': Timestamp('2021-01-15 06:19:13+0000', tz='UTC'), 'polarity': 0.2216}, {'post_id': 810, 'timestamp': Timestamp('2021-02-12 05:55:14+0000', tz='UTC'), 'polarity': 0.9305}, {'post_id': 806, 'timestamp': Timestamp('2021-02-12 05:56:31+0000', tz='UTC'), 'polarity': 0.5976}, {'post_id': 757, 'timestamp': Timestamp('2021-05-07 05:24:50+0000', tz='UTC'), 'polarity': 0.2216}, {'post_id': 761, 'timestamp': Timestamp('2021-05-07 09:36:28+0000', tz='UTC'), 'polarity': 0.2267}]"
806,alantrowe,2021-02-12 05:56:31+00:00,0.5976,positive,"['blue_heart blue_heart', 'blue_heart']","['show', 'runway', 'prada', 'style', 'ss', 'oldprada', 'miuccialover', 'mens']","[{'post_id': 822, 'timestamp': Timestamp('2021-01-04 10:38:18+0000', tz='UTC'), 'polarity': 0.2468}, {'post_id': 823, 'timestamp': Timestamp('2021-01-04 10:39:08+0000', tz='UTC'), 'polarity': 0.0711}, {'post_id': 815, 'timestamp': Timestamp('2021-01-09 18:25:13+0000', tz='UTC'), 'polarity': 0.0711}, {'post_id': 816, 'timestamp': Timestamp('2021-01-09 18:26:00+0000', tz='UTC'), 'polarity': 0.0711}, {'post_id': 812, 'timestamp': Timestamp('2021-01-15 06:18:47+0000', tz='UTC'), 'polarity': 0.2216}, {'post_id': 819, 'timestamp': Timestamp('2021-01-15 06:19:13+0000', tz='UTC'), 'polarity': 0.2216}, {'post_id': 810, 'timestamp': Timestamp('2021-02-12 05:55:14+0000', tz='UTC'), 'polarity': 0.9305}, {'post_id': 806, 'timestamp': Timestamp('2021-02-12 05:56:31+0000', tz='UTC'), 'polarity': 0.5976}, {'post_id': 757, 'timestamp': Timestamp('2021-05-07 05:24:50+0000', tz='UTC'), 'polarity': 0.2216}, {'post_id': 761, 'timestamp': Timestamp('2021-05-07 09:36:28+0000', tz='UTC'), 'polarity': 0.2267}]"
814,light_on_mars,2021-02-12 06:26:39+00:00,0.2035,neutral,"['outfits', 'red_heart', 'denim', 'red_heart red_heart']","['show', 'runway', 'prada', 'style', 'ss', 'oldprada', 'miuccialover', 'mens']","[{'post_id': 814, 'timestamp': Timestamp('2021-02-12 06:26:39+0000', tz='UTC'), 'polarity': 0.2035}]"
814,meathead_madrid,2021-02-12 07:46:52+00:00,0.7964,positive,"['prada', 'statement', 'prada best', 'men women', 'men']","['show', 'runway', 'prada', 'style', 'ss', 'oldprada', 'miuccialover', 'mens']","[{'post_id': 814, 'timestamp': Timestamp('2021-02-12 07:46:52+0000', tz='UTC'), 'polarity': 0.7964}]"
806,em_mrnt,2021-02-12 07:53:14+00:00,0.9347,positive,"['raising_hands_light_skin_tone', 'good']","['show', 'runway', 'prada', 'style', 'ss', 'oldprada', 'miuccialover', 'mens']","[{'post_id': 806, 'timestamp': Timestamp('2021-02-12 07:53:14+0000', tz='UTC'), 'polarity': 0.9347}]"
814,grazianodicintio,2021-02-12 09:39:33+00:00,-0.2649,neutral,['iconic'],"['show', 'runway', 'prada', 'style', 'ss', 'oldprada', 'miuccialover', 'mens']","[{'post_id': 814, 'timestamp': Timestamp('2021-02-12 09:39:33+0000', tz='UTC'), 'polarity': -0.2649}]"
814,boutiqueduchatel,2021-02-12 09:54:13+00:00,0.6277,positive,"['men', 'fashion', 'beautiful']","['show', 'runway', 'prada', 'style', 'ss', 'oldprada', 'miuccialover', 'mens']","[{'post_id': 814, 'timestamp': Timestamp('2021-02-12 09:54:13+0000', tz='UTC'), 'polarity': 0.6277}]"
810,nige_squad,2021-02-12 11:40:01+00:00,0.1407,neutral,"['shots', 'iconic', 'red_heart']","['prada', 'ss', 'oldprada', 'miuccialover', 'mens']","[{'post_id': 810, 'timestamp': Timestamp('2021-02-12 11:40:01+0000', tz='UTC'), 'polarity': 0.1407}]"
