commentUser,comment_count,polarity,keywords_comments,interaction_sequence,posts_sequence
babioliveira_03,1,0.24,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 637, 'timestamp': '2023-05-29 18:38:19+00:00', 'polarity': 0.24}]",[637]
babipaulaa,1,0.4800000000000001,"['smiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands', 'de']","[{'post_id': 614, 'timestamp': '2023-05-29 01:17:11+00:00', 'polarity': 0.4800000000000001}]",[614]
babybeebrittany,1,0.4,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 329, 'timestamp': '2023-04-27 22:35:32+00:00', 'polarity': 0.4}]",[329]
babygurlbrownskinn,1,0.4800000000000001,"['smiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands', 'de']","[{'post_id': 667, 'timestamp': '2023-05-22 03:47:31+00:00', 'polarity': 0.4800000000000001}]",[667]
babyjji__,1,-0.1453571428571428,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 222, 'timestamp': '2023-05-16 01:42:27+00:00', 'polarity': -0.1453571428571428}]",[222]
badbisssss1,1,0.8,"['fire', 'amazing', 'beautiful', 'clapping_hands', 'de']","[{'post_id': 514, 'timestamp': '2023-06-03 21:30:47+00:00', 'polarity': 0.8}]",[514]
baddiebeyiv.4,1,0.4800000000000001,"['fire', 'firefirefire', 'amazing', 'beautiful', 'clapping_hands']","[{'post_id': 432, 'timestamp': '2023-06-07 19:11:21+00:00', 'polarity': 0.4800000000000001}]",[432]
badellaware,1,0.0,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 268, 'timestamp': '2023-06-04 14:17:48+00:00', 'polarity': 0.0}]",[268]
bahar.deana,4,0.31,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 244, 'timestamp': '2023-05-11 13:06:19+00:00', 'polarity': 0.5}, {'post_id': 246, 'timestamp': '2023-05-11 13:07:00+00:00', 'polarity': 0.5}, {'post_id': 156, 'timestamp': '2023-05-30 09:02:05+00:00', 'polarity': 0.24}, {'post_id': 146, 'timestamp': '2023-06-04 13:44:53+00:00', 'polarity': 0.0}]","[244, 246, 156, 146]"
baileyinsa1,1,-0.3929285714285714,"['no', 'look', 'like', 'amazing', 'beautiful']","[{'post_id': 750, 'timestamp': '2023-05-02 14:20:19+00:00', 'polarity': -0.3929285714285714}]",[750]
bailuolan_luna,1,0.16,"['smiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands', 'de']","[{'post_id': 489, 'timestamp': '2023-06-04 16:56:09+00:00', 'polarity': 0.16}]",[489]
balazskochis,1,0.9600000000000002,"['fire', 'amazing', 'beautiful', 'clapping_hands', 'de']","[{'post_id': 72, 'timestamp': '2023-05-27 22:57:04+00:00', 'polarity': 0.9600000000000002}]",[72]
