commentUser,interaction_sequence,posts_sequence,sequence_length
jabermalekzadeh_1968,"[{'post_id': 167, 'timestamp': '2023-06-06 13:18:43+00:00', 'polarity': 0.2873}, {'post_id': 171, 'timestamp': '2023-06-06 13:18:56+00:00', 'polarity': 0.3642}, {'post_id': 168, 'timestamp': '2023-06-06 13:19:08+00:00', 'polarity': 0.2673}, {'post_id': 251, 'timestamp': '2023-06-06 13:21:01+00:00', 'polarity': 0.3382}, {'post_id': 375, 'timestamp': '2023-06-06 13:21:34+00:00', 'polarity': 0.9103}, {'post_id': 372, 'timestamp': '2023-06-06 13:21:49+00:00', 'polarity': 0.2749}, {'post_id': 374, 'timestamp': '2023-06-06 13:22:06+00:00', 'polarity': 0.9097}, {'post_id': 371, 'timestamp': '2023-06-06 13:22:19+00:00', 'polarity': -0.1275}, {'post_id': 376, 'timestamp': '2023-06-06 13:22:31+00:00', 'polarity': -0.0763}]","[167, 171, 168, 251, 375, 372, 374, 371, 376]",9
jae.savage27,"[{'post_id': 255, 'timestamp': '2023-01-30 19:04:38+00:00', 'polarity': 0.5185}, {'post_id': 37, 'timestamp': '2023-04-17 18:49:55+00:00', 'polarity': 0.1876}, {'post_id': 30, 'timestamp': '2023-05-17 12:42:08+00:00', 'polarity': 0.0296}, {'post_id': 32, 'timestamp': '2023-05-18 17:25:51+00:00', 'polarity': 0.2274}]","[255, 37, 30, 32]",4
jasminemcneil01,"[{'post_id': 246, 'timestamp': '2023-05-01 07:51:05+00:00', 'polarity': 0.9387}, {'post_id': 104, 'timestamp': '2023-06-02 10:29:15+00:00', 'polarity': -0.0205}, {'post_id': 161, 'timestamp': '2023-06-02 14:04:48+00:00', 'polarity': 0.9725}]","[246, 104, 161]",3
je_suis_gayane,"[{'post_id': 775, 'timestamp': '2023-04-15 08:02:45+00:00', 'polarity': 0.1033}, {'post_id': 694, 'timestamp': '2023-05-04 08:02:13+00:00', 'polarity': 0.1423}, {'post_id': 421, 'timestamp': '2023-06-06 07:36:02+00:00', 'polarity': 0.2445}]","[775, 694, 421]",3
jeoliiveiraa_,"[{'post_id': 293, 'timestamp': '2023-04-22 01:31:16+00:00', 'polarity': 0.8265}, {'post_id': 290, 'timestamp': '2023-04-25 16:44:17+00:00', 'polarity': 0.7336}, {'post_id': 56, 'timestamp': '2023-06-05 13:54:17+00:00', 'polarity': 0.4831}]","[293, 290, 56]",3
joartbyjo,"[{'post_id': 757, 'timestamp': '2022-09-17 14:19:55+00:00', 'polarity': 0.882}, {'post_id': 762, 'timestamp': '2022-09-17 14:20:04+00:00', 'polarity': 0.9485}, {'post_id': 761, 'timestamp': '2022-09-17 14:20:21+00:00', 'polarity': 0.9322}]","[757, 762, 761]",3
joewest7114,"[{'post_id': 319, 'timestamp': '2023-03-31 16:56:34+00:00', 'polarity': 0.0234}, {'post_id': 67, 'timestamp': '2023-04-02 17:24:32+00:00', 'polarity': -0.0317}, {'post_id': 105, 'timestamp': '2023-04-02 17:24:49+00:00', 'polarity': 0.329}, {'post_id': 68, 'timestamp': '2023-04-02 17:25:04+00:00', 'polarity': -0.1642}, {'post_id': 66, 'timestamp': '2023-04-02 17:25:51+00:00', 'polarity': 0.1996}, {'post_id': 70, 'timestamp': '2023-04-02 17:26:08+00:00', 'polarity': 0.2347}, {'post_id': 71, 'timestamp': '2023-04-02 17:27:12+00:00', 'polarity': -0.1275}, {'post_id': 69, 'timestamp': '2023-04-02 17:27:25+00:00', 'polarity': 0.1681}, {'post_id': 4, 'timestamp': '2023-04-02 17:27:36+00:00', 'polarity': -0.0355}]","[319, 67, 105, 68, 66, 70, 71, 69, 4]",9
joey_west_831,"[{'post_id': 330, 'timestamp': '2023-03-19 20:32:47+00:00', 'polarity': 0.8296}, {'post_id': 44, 'timestamp': '2023-06-04 14:23:07+00:00', 'polarity': 0.0393}, {'post_id': 51, 'timestamp': '2023-06-04 14:23:22+00:00', 'polarity': -0.1468}, {'post_id': 52, 'timestamp': '2023-06-04 14:23:38+00:00', 'polarity': -0.0872}]","[330, 44, 51, 52]",4
joysworld_,"[{'post_id': 70, 'timestamp': '2023-03-26 19:03:25+00:00', 'polarity': 0.178}, {'post_id': 70, 'timestamp': '2023-03-26 19:03:26+00:00', 'polarity': -0.0321}, {'post_id': 8, 'timestamp': '2023-06-03 11:21:17+00:00', 'polarity': 0.906}]","[70, 70, 8]",3
juanmederooficial,"[{'post_id': 692, 'timestamp': '2023-03-14 03:12:44+00:00', 'polarity': 0.1038}, {'post_id': 567, 'timestamp': '2023-04-05 02:58:01+00:00', 'polarity': 0.0278}, {'post_id': 457, 'timestamp': '2023-04-25 03:13:13+00:00', 'polarity': 0.0522}, {'post_id': 460, 'timestamp': '2023-04-30 02:05:27+00:00', 'polarity': 0.1038}]","[692, 567, 457, 460]",4
jules.kae,"[{'post_id': 177, 'timestamp': '2023-05-22 14:59:25+00:00', 'polarity': 0.7703}, {'post_id': 155, 'timestamp': '2023-05-30 19:50:01+00:00', 'polarity': 0.3585}, {'post_id': 607, 'timestamp': '2023-06-05 00:24:01+00:00', 'polarity': 0.141}]","[177, 155, 607]",3
julia_israel_,"[{'post_id': 216, 'timestamp': '2023-05-22 08:30:31+00:00', 'polarity': 0.7867}, {'post_id': 136, 'timestamp': '2023-05-25 11:55:05+00:00', 'polarity': 0.7867}, {'post_id': 131, 'timestamp': '2023-05-25 11:56:34+00:00', 'polarity': 0.7867}, {'post_id': 147, 'timestamp': '2023-06-01 17:23:34+00:00', 'polarity': 0.7867}]","[216, 136, 131, 147]",4
jwmas._,"[{'post_id': 175, 'timestamp': '2023-06-06 17:44:22+00:00', 'polarity': 0.1359}, {'post_id': 224, 'timestamp': '2023-06-06 17:46:56+00:00', 'polarity': 0.0756}, {'post_id': 240, 'timestamp': '2023-06-06 17:49:03+00:00', 'polarity': 0.2958}, {'post_id': 375, 'timestamp': '2023-06-06 17:52:38+00:00', 'polarity': 0.1957}, {'post_id': 374, 'timestamp': '2023-06-06 17:53:28+00:00', 'polarity': 0.1172}, {'post_id': 389, 'timestamp': '2023-06-06 17:54:35+00:00', 'polarity': 0.1846}, {'post_id': 388, 'timestamp': '2023-06-06 17:55:44+00:00', 'polarity': 0.3069}, {'post_id': 386, 'timestamp': '2023-06-06 17:56:30+00:00', 'polarity': 0.247}]","[175, 224, 240, 375, 374, 389, 388, 386]",8
k.jadereason,"[{'post_id': 337, 'timestamp': '2022-10-04 18:59:05+00:00', 'polarity': 0.0494}, {'post_id': 336, 'timestamp': '2022-10-10 17:15:48+00:00', 'polarity': 0.0357}, {'post_id': 338, 'timestamp': '2022-10-21 18:00:26+00:00', 'polarity': 0.0129}, {'post_id': 344, 'timestamp': '2022-11-02 17:55:53+00:00', 'polarity': 0.0494}, {'post_id': 286, 'timestamp': '2022-12-23 23:43:14+00:00', 'polarity': 0.7074}, {'post_id': 200, 'timestamp': '2023-02-15 18:03:30+00:00', 'polarity': 0.0494}, {'post_id': 319, 'timestamp': '2023-03-30 16:46:03+00:00', 'polarity': 0.2744}, {'post_id': 68, 'timestamp': '2023-04-04 19:36:08+00:00', 'polarity': 0.0494}, {'post_id': 19, 'timestamp': '2023-05-08 23:39:45+00:00', 'polarity': 0.2744}, {'post_id': 18, 'timestamp': '2023-05-17 19:40:06+00:00', 'polarity': 0.2744}]","[337, 336, 338, 344, 286, 200, 319, 68, 19, 18]",10
kamihooligann,"[{'post_id': 584, 'timestamp': '2023-06-03 17:28:28+00:00', 'polarity': 0.7763}, {'post_id': 584, 'timestamp': '2023-06-03 17:28:59+00:00', 'polarity': 0.0321}, {'post_id': 485, 'timestamp': '2023-06-09 18:37:16+00:00', 'polarity': 0.3907}, {'post_id': 578, 'timestamp': '2023-06-09 18:37:28+00:00', 'polarity': 0.3907}, {'post_id': 593, 'timestamp': '2023-06-09 18:37:35+00:00', 'polarity': 0.3907}, {'post_id': 584, 'timestamp': '2023-06-09 18:37:41+00:00', 'polarity': 0.3907}, {'post_id': 821, 'timestamp': '2023-06-09 18:37:51+00:00', 'polarity': 0.2114}, {'post_id': 648, 'timestamp': '2023-06-09 18:38:00+00:00', 'polarity': 0.1801}]","[584, 584, 485, 578, 593, 584, 821, 648]",8
kar4sj,"[{'post_id': 454, 'timestamp': '2023-05-21 04:50:45+00:00', 'polarity': -0.0587}, {'post_id': 454, 'timestamp': '2023-05-21 04:50:59+00:00', 'polarity': -0.0587}, {'post_id': 454, 'timestamp': '2023-05-21 04:51:04+00:00', 'polarity': -0.1035}, {'post_id': 454, 'timestamp': '2023-05-21 05:16:11+00:00', 'polarity': -0.0332}]","[454, 454, 454, 454]",4
katharinatruman,"[{'post_id': 72, 'timestamp': '2023-06-05 21:31:02+00:00', 'polarity': 0.8703}, {'post_id': 23, 'timestamp': '2023-06-06 13:37:27+00:00', 'polarity': 0.2749}, {'post_id': 72, 'timestamp': '2023-06-06 13:50:25+00:00', 'polarity': 0.1033}, {'post_id': 77, 'timestamp': '2023-06-06 13:53:19+00:00', 'polarity': 0.2744}, {'post_id': 78, 'timestamp': '2023-06-06 13:54:14+00:00', 'polarity': 0.2792}, {'post_id': 78, 'timestamp': '2023-06-06 13:54:47+00:00', 'polarity': 0.1473}]","[72, 23, 72, 77, 78, 78]",6
katiazangaro,"[{'post_id': 386, 'timestamp': '2023-05-30 19:21:20+00:00', 'polarity': 0.2964}, {'post_id': 245, 'timestamp': '2023-05-31 04:46:21+00:00', 'polarity': -0.0634}, {'post_id': 374, 'timestamp': '2023-05-31 04:47:30+00:00', 'polarity': 0.0092}, {'post_id': 388, 'timestamp': '2023-05-31 04:48:04+00:00', 'polarity': 0.3228}]","[386, 245, 374, 388]",4
kelsey_hewlett,"[{'post_id': 312, 'timestamp': '2022-11-01 02:41:09+00:00', 'polarity': 0.5944}, {'post_id': 70, 'timestamp': '2023-03-23 03:01:38+00:00', 'polarity': 0.5127}, {'post_id': 67, 'timestamp': '2023-04-01 21:15:42+00:00', 'polarity': 0.9581}]","[312, 70, 67]",3
kigori_gioielli,"[{'post_id': 703, 'timestamp': '2023-03-12 21:21:22+00:00', 'polarity': 0.1033}, {'post_id': 650, 'timestamp': '2023-04-23 07:15:48+00:00', 'polarity': 0.1033}, {'post_id': 397, 'timestamp': '2023-06-08 11:31:35+00:00', 'polarity': 0.24}]","[703, 650, 397]",3
kika100doute,"[{'post_id': 203, 'timestamp': '2023-06-02 01:03:24+00:00', 'polarity': 0.0067}, {'post_id': 50, 'timestamp': '2023-06-02 01:11:26+00:00', 'polarity': -0.0757}, {'post_id': 50, 'timestamp': '2023-06-02 01:12:07+00:00', 'polarity': 0.0348}]","[203, 50, 50]",3
kobe.armstrong,"[{'post_id': 643, 'timestamp': '2023-06-07 14:57:00+00:00', 'polarity': 0.2267}, {'post_id': 637, 'timestamp': '2023-06-07 14:58:07+00:00', 'polarity': 0.484}, {'post_id': 554, 'timestamp': '2023-06-07 14:58:49+00:00', 'polarity': 0.0519}]","[643, 637, 554]",3
labottegadellargento,"[{'post_id': 243, 'timestamp': '2023-05-31 11:57:10+00:00', 'polarity': 0.728}, {'post_id': 251, 'timestamp': '2023-05-31 11:57:20+00:00', 'polarity': 0.8546}, {'post_id': 373, 'timestamp': '2023-05-31 11:57:38+00:00', 'polarity': 0.728}, {'post_id': 389, 'timestamp': '2023-05-31 11:58:17+00:00', 'polarity': 0.8713}, {'post_id': 388, 'timestamp': '2023-05-31 11:58:31+00:00', 'polarity': 0.8654}]","[243, 251, 373, 389, 388]",5
laila_velmonte,"[{'post_id': 374, 'timestamp': '2023-06-04 11:05:52+00:00', 'polarity': -0.0823}, {'post_id': 384, 'timestamp': '2023-06-04 11:11:18+00:00', 'polarity': 0.1694}, {'post_id': 386, 'timestamp': '2023-06-04 11:14:36+00:00', 'polarity': 0.2354}]","[374, 384, 386]",3
lamarins_,"[{'post_id': 380, 'timestamp': '2023-03-23 00:36:20+00:00', 'polarity': 0.7867}, {'post_id': 380, 'timestamp': '2023-03-23 00:36:31+00:00', 'polarity': 0.064}, {'post_id': 379, 'timestamp': '2023-03-24 01:21:02+00:00', 'polarity': 0.7867}, {'post_id': 379, 'timestamp': '2023-03-24 01:21:18+00:00', 'polarity': -0.0348}]","[380, 380, 379, 379]",4
lara_lepp,"[{'post_id': 7, 'timestamp': '2023-05-23 03:10:06+00:00', 'polarity': 0.7867}, {'post_id': 15, 'timestamp': '2023-05-25 09:37:38+00:00', 'polarity': 0.7867}, {'post_id': 11, 'timestamp': '2023-05-28 23:55:55+00:00', 'polarity': 0.7867}]","[7, 15, 11]",3
laurabella1980,"[{'post_id': 237, 'timestamp': '2022-06-21 19:45:26+00:00', 'polarity': 0.9833}, {'post_id': 298, 'timestamp': '2023-04-22 05:54:05+00:00', 'polarity': -0.4774}, {'post_id': 303, 'timestamp': '2023-04-22 22:46:04+00:00', 'polarity': 0.8886}]","[237, 298, 303]",3
lcristianerochaa,"[{'post_id': 114, 'timestamp': '2023-05-24 00:34:49+00:00', 'polarity': 0.1033}, {'post_id': 72, 'timestamp': '2023-05-24 00:35:16+00:00', 'polarity': 0.1033}, {'post_id': 49, 'timestamp': '2023-05-25 00:53:08+00:00', 'polarity': 0.2792}, {'post_id': 355, 'timestamp': '2023-05-26 09:14:30+00:00', 'polarity': 0.5897}, {'post_id': 203, 'timestamp': '2023-06-01 09:36:53+00:00', 'polarity': 0.3004}, {'post_id': 203, 'timestamp': '2023-06-01 09:36:58+00:00', 'polarity': 0.0283}, {'post_id': 51, 'timestamp': '2023-06-01 09:39:37+00:00', 'polarity': 0.3192}, {'post_id': 52, 'timestamp': '2023-06-01 09:40:39+00:00', 'polarity': 0.1853}, {'post_id': 53, 'timestamp': '2023-06-01 09:41:47+00:00', 'polarity': 0.1828}, {'post_id': 50, 'timestamp': '2023-06-01 09:42:09+00:00', 'polarity': 0.2959}]","[114, 72, 49, 355, 203, 203, 51, 52, 53, 50]",10
lea_spinella,"[{'post_id': 210, 'timestamp': '2023-05-09 15:19:58+00:00', 'polarity': 0.728}, {'post_id': 207, 'timestamp': '2023-05-12 12:17:42+00:00', 'polarity': 0.728}, {'post_id': 213, 'timestamp': '2023-05-13 17:00:29+00:00', 'polarity': 0.7074}, {'post_id': 131, 'timestamp': '2023-05-25 15:53:07+00:00', 'polarity': 0.728}, {'post_id': 155, 'timestamp': '2023-06-01 10:36:09+00:00', 'polarity': 0.7074}]","[210, 207, 213, 131, 155]",5
leeoliveira,"[{'post_id': 709, 'timestamp': '2023-01-11 11:01:40+00:00', 'polarity': 0.0054}, {'post_id': 654, 'timestamp': '2023-02-20 08:02:53+00:00', 'polarity': 0.0976}, {'post_id': 655, 'timestamp': '2023-03-20 22:29:23+00:00', 'polarity': 0.5842}, {'post_id': 509, 'timestamp': '2023-04-20 18:27:48+00:00', 'polarity': -0.0037}, {'post_id': 509, 'timestamp': '2023-04-24 01:02:08+00:00', 'polarity': 0.2723}, {'post_id': 517, 'timestamp': '2023-04-25 11:32:20+00:00', 'polarity': 0.118}, {'post_id': 535, 'timestamp': '2023-04-26 07:51:39+00:00', 'polarity': 0.6863}, {'post_id': 507, 'timestamp': '2023-05-13 11:59:10+00:00', 'polarity': 0.3823}, {'post_id': 520, 'timestamp': '2023-05-22 21:14:29+00:00', 'polarity': 0.08}]","[709, 654, 655, 509, 509, 517, 535, 507, 520]",9
leila_k_hosseini,"[{'post_id': 522, 'timestamp': '2023-05-12 17:16:34+00:00', 'polarity': 0.3099}, {'post_id': 634, 'timestamp': '2023-05-28 06:46:21+00:00', 'polarity': 0.3666}, {'post_id': 456, 'timestamp': '2023-06-06 11:21:51+00:00', 'polarity': 0.3474}, {'post_id': 394, 'timestamp': '2023-06-07 09:41:04+00:00', 'polarity': 0.1033}]","[522, 634, 456, 394]",4
lenaa.geissler,"[{'post_id': 320, 'timestamp': '2023-03-28 15:56:06+00:00', 'polarity': 0.4821}, {'post_id': 284, 'timestamp': '2023-04-07 15:40:39+00:00', 'polarity': 0.926}, {'post_id': 155, 'timestamp': '2023-05-31 12:39:12+00:00', 'polarity': 0.8848}]","[320, 284, 155]",3
limex.indalesio,"[{'post_id': 150, 'timestamp': '2023-06-02 05:36:24+00:00', 'polarity': 0.2515}, {'post_id': 205, 'timestamp': '2023-06-02 05:37:05+00:00', 'polarity': 0.6781}, {'post_id': 217, 'timestamp': '2023-06-02 05:37:32+00:00', 'polarity': -0.0356}]","[150, 205, 217]",3
lindatol_,"[{'post_id': 332, 'timestamp': '2022-10-25 05:28:44+00:00', 'polarity': 0.2906}, {'post_id': 64, 'timestamp': '2023-04-11 05:22:32+00:00', 'polarity': 0.1141}, {'post_id': 17, 'timestamp': '2023-05-11 04:25:22+00:00', 'polarity': 0.1033}, {'post_id': 10, 'timestamp': '2023-06-01 23:18:07+00:00', 'polarity': 0.1033}]","[332, 64, 17, 10]",4
living.life.with.leah,"[{'post_id': 259, 'timestamp': '2023-01-28 23:06:35+00:00', 'polarity': 0.8492}, {'post_id': 259, 'timestamp': '2023-01-29 18:26:34+00:00', 'polarity': -0.0962}, {'post_id': 99, 'timestamp': '2023-02-20 13:20:26+00:00', 'polarity': 0.1201}]","[259, 259, 99]",3
lojafashioncloset,"[{'post_id': 380, 'timestamp': '2023-03-24 15:07:40+00:00', 'polarity': 0.0849}, {'post_id': 293, 'timestamp': '2023-04-26 14:56:45+00:00', 'polarity': 0.0029}, {'post_id': 379, 'timestamp': '2023-04-26 14:57:29+00:00', 'polarity': 0.8555}, {'post_id': 333, 'timestamp': '2023-04-26 14:58:24+00:00', 'polarity': 0.0405}, {'post_id': 239, 'timestamp': '2023-05-22 18:09:12+00:00', 'polarity': 0.7661}, {'post_id': 231, 'timestamp': '2023-05-30 21:07:35+00:00', 'polarity': 0.3156}, {'post_id': 61, 'timestamp': '2023-05-30 21:08:48+00:00', 'polarity': 0.3017}, {'post_id': 59, 'timestamp': '2023-06-01 20:24:43+00:00', 'polarity': 0.0124}, {'post_id': 60, 'timestamp': '2023-06-04 21:49:19+00:00', 'polarity': 0.0225}, {'post_id': 56, 'timestamp': '2023-06-05 14:29:36+00:00', 'polarity': 0.0105}, {'post_id': 56, 'timestamp': '2023-06-05 14:30:14+00:00', 'polarity': 0.6262}]","[380, 293, 379, 333, 239, 231, 61, 59, 60, 56, 56]",11
luizcarlosferreira289,"[{'post_id': 170, 'timestamp': '2023-06-06 15:09:37+00:00', 'polarity': 0.0001}, {'post_id': 223, 'timestamp': '2023-06-06 15:15:52+00:00', 'polarity': 0.0293}, {'post_id': 225, 'timestamp': '2023-06-06 15:17:19+00:00', 'polarity': -0.0418}]","[170, 223, 225]",3
marcosdianoo,"[{'post_id': 606, 'timestamp': '2023-05-28 21:52:24+00:00', 'polarity': 0.6885}, {'post_id': 604, 'timestamp': '2023-05-28 21:52:36+00:00', 'polarity': 0.6885}, {'post_id': 495, 'timestamp': '2023-05-28 21:53:02+00:00', 'polarity': 0.6885}]","[606, 604, 495]",3
mariackenny,"[{'post_id': 760, 'timestamp': '2022-10-11 19:55:15+00:00', 'polarity': 0.3024}, {'post_id': 548, 'timestamp': '2023-02-26 10:50:20+00:00', 'polarity': -0.0203}, {'post_id': 444, 'timestamp': '2023-05-23 12:51:52+00:00', 'polarity': 0.6683}]","[760, 548, 444]",3
marijnvanheijst,"[{'post_id': 332, 'timestamp': '2022-10-25 07:40:59+00:00', 'polarity': 0.4099}, {'post_id': 289, 'timestamp': '2022-12-08 16:08:04+00:00', 'polarity': 0.9771}, {'post_id': 191, 'timestamp': '2023-02-15 16:38:58+00:00', 'polarity': 0.7927}, {'post_id': 17, 'timestamp': '2023-05-11 15:13:51+00:00', 'polarity': 0.5086}, {'post_id': 10, 'timestamp': '2023-06-02 15:09:50+00:00', 'polarity': 0.8792}]","[332, 289, 191, 17, 10]",5
matildadjerfangel,"[{'post_id': 283, 'timestamp': '2023-04-19 14:41:08+00:00', 'polarity': -0.0071}, {'post_id': 295, 'timestamp': '2023-04-19 14:41:21+00:00', 'polarity': 0.2744}, {'post_id': 271, 'timestamp': '2023-04-19 14:41:35+00:00', 'polarity': 0.8627}, {'post_id': 244, 'timestamp': '2023-05-18 12:03:24+00:00', 'polarity': 0.6244}, {'post_id': 246, 'timestamp': '2023-05-18 12:03:36+00:00', 'polarity': 0.8954}, {'post_id': 219, 'timestamp': '2023-05-18 12:03:52+00:00', 'polarity': 0.2965}, {'post_id': 184, 'timestamp': '2023-05-18 12:05:09+00:00', 'polarity': 0.0823}, {'post_id': 205, 'timestamp': '2023-05-18 12:14:34+00:00', 'polarity': 0.2576}, {'post_id': 188, 'timestamp': '2023-05-18 12:39:34+00:00', 'polarity': 0.8703}, {'post_id': 150, 'timestamp': '2023-06-03 06:30:15+00:00', 'polarity': 0.9549}, {'post_id': 142, 'timestamp': '2023-06-06 15:38:34+00:00', 'polarity': 0.9501}]","[283, 295, 271, 244, 246, 219, 184, 205, 188, 150, 142]",11
mazzarosamary,"[{'post_id': 174, 'timestamp': '2023-06-06 10:54:01+00:00', 'polarity': -0.0639}, {'post_id': 174, 'timestamp': '2023-06-06 10:54:51+00:00', 'polarity': 0.0036}, {'post_id': 174, 'timestamp': '2023-06-06 10:55:57+00:00', 'polarity': -0.0657}]","[174, 174, 174]",3
melania.lavia,"[{'post_id': 701, 'timestamp': '2023-03-09 07:09:13+00:00', 'polarity': -0.046}, {'post_id': 701, 'timestamp': '2023-03-09 07:10:26+00:00', 'polarity': -0.0628}, {'post_id': 701, 'timestamp': '2023-03-09 07:10:53+00:00', 'polarity': -0.0176}, {'post_id': 701, 'timestamp': '2023-03-09 07:12:47+00:00', 'polarity': -0.0229}]","[701, 701, 701, 701]",4
metoyerblessed,"[{'post_id': 743, 'timestamp': '2023-03-28 03:17:59+00:00', 'polarity': 0.1033}, {'post_id': 749, 'timestamp': '2023-03-28 03:18:34+00:00', 'polarity': 0.1033}, {'post_id': 769, 'timestamp': '2023-03-28 03:18:41+00:00', 'polarity': 0.1033}]","[743, 749, 769]",3
mhmd6054,"[{'post_id': 117, 'timestamp': '2023-06-06 16:33:07+00:00', 'polarity': 0.0478}, {'post_id': 168, 'timestamp': '2023-06-06 16:33:26+00:00', 'polarity': 0.0181}, {'post_id': 170, 'timestamp': '2023-06-06 16:34:16+00:00', 'polarity': 0.2137}]","[117, 168, 170]",3
michdumas,"[{'post_id': 352, 'timestamp': '2022-12-13 11:49:29+00:00', 'polarity': 0.6746}, {'post_id': 98, 'timestamp': '2023-02-16 22:33:20+00:00', 'polarity': 0.9497}, {'post_id': 31, 'timestamp': '2023-06-06 04:07:12+00:00', 'polarity': 0.8421}]","[352, 98, 31]",3
mierhkael,"[{'post_id': 471, 'timestamp': '2023-06-06 10:06:06+00:00', 'polarity': 0.935}, {'post_id': 396, 'timestamp': '2023-06-08 18:46:34+00:00', 'polarity': 0.8881}, {'post_id': 395, 'timestamp': '2023-06-08 20:44:15+00:00', 'polarity': -0.0665}]","[471, 396, 395]",3
miettaleisure,"[{'post_id': 217, 'timestamp': '2023-05-06 11:51:29+00:00', 'polarity': 0.1926}, {'post_id': 222, 'timestamp': '2023-05-08 07:18:41+00:00', 'polarity': 0.7867}, {'post_id': 244, 'timestamp': '2023-05-10 21:49:42+00:00', 'polarity': 0.7867}]","[217, 222, 244]",3
mirtillatreb,"[{'post_id': 227, 'timestamp': '2023-06-06 13:21:55+00:00', 'polarity': 0.1321}, {'post_id': 241, 'timestamp': '2023-06-06 13:22:39+00:00', 'polarity': 0.0189}, {'post_id': 243, 'timestamp': '2023-06-06 13:24:13+00:00', 'polarity': 0.3707}, {'post_id': 375, 'timestamp': '2023-06-06 13:26:05+00:00', 'polarity': 0.1083}]","[227, 241, 243, 375]",4
mmari.jjuanaa,"[{'post_id': 262, 'timestamp': '2023-06-06 10:00:16+00:00', 'polarity': 0.115}, {'post_id': 373, 'timestamp': '2023-06-06 10:00:29+00:00', 'polarity': 0.5353}, {'post_id': 375, 'timestamp': '2023-06-06 10:00:39+00:00', 'polarity': 0.0603}, {'post_id': 374, 'timestamp': '2023-06-06 10:00:59+00:00', 'polarity': -0.0199}, {'post_id': 371, 'timestamp': '2023-06-06 10:01:13+00:00', 'polarity': 0.0115}]","[262, 373, 375, 374, 371]",5
mmoore216,"[{'post_id': 23, 'timestamp': '2023-06-06 11:51:18+00:00', 'polarity': 0.99}, {'post_id': 24, 'timestamp': '2023-06-06 11:52:51+00:00', 'polarity': 0.9394}, {'post_id': 26, 'timestamp': '2023-06-06 11:54:04+00:00', 'polarity': 0.3864}, {'post_id': 114, 'timestamp': '2023-06-06 11:59:05+00:00', 'polarity': 0.949}]","[23, 24, 26, 114]",4
modaanacorreia,"[{'post_id': 604, 'timestamp': '2023-05-28 01:40:05+00:00', 'polarity': 0.3585}, {'post_id': 605, 'timestamp': '2023-05-28 06:04:11+00:00', 'polarity': 0.7324}, {'post_id': 647, 'timestamp': '2023-05-28 15:27:37+00:00', 'polarity': 0.7874}]","[604, 605, 647]",3
modamanagementglobal,"[{'post_id': 571, 'timestamp': '2023-04-05 09:55:15+00:00', 'polarity': -0.0665}, {'post_id': 561, 'timestamp': '2023-04-12 07:44:16+00:00', 'polarity': 0.7641}, {'post_id': 459, 'timestamp': '2023-04-20 10:23:21+00:00', 'polarity': 0.0278}, {'post_id': 457, 'timestamp': '2023-04-24 08:29:53+00:00', 'polarity': 0.5366}]","[571, 561, 459, 457]",4
momlife.of.leni.and.leo,"[{'post_id': 353, 'timestamp': '2022-11-23 22:04:11+00:00', 'polarity': 0.5608}, {'post_id': 95, 'timestamp': '2023-03-07 15:58:35+00:00', 'polarity': 0.7753}, {'post_id': 89, 'timestamp': '2023-03-19 05:31:46+00:00', 'polarity': 0.7448}, {'post_id': 30, 'timestamp': '2023-05-17 23:43:52+00:00', 'polarity': 0.7185}]","[353, 95, 89, 30]",4
momsetproject,"[{'post_id': 192, 'timestamp': '2023-03-17 12:36:34+00:00', 'polarity': -0.0665}, {'post_id': 269, 'timestamp': '2023-05-24 09:56:22+00:00', 'polarity': 0.1141}, {'post_id': 13, 'timestamp': '2023-05-29 20:07:13+00:00', 'polarity': 0.1141}]","[192, 269, 13]",3
monikh,"[{'post_id': 367, 'timestamp': '2023-05-18 19:01:39+00:00', 'polarity': 0.9065}, {'post_id': 281, 'timestamp': '2023-05-23 20:15:00+00:00', 'polarity': 0.9862}, {'post_id': 361, 'timestamp': '2023-05-25 10:40:58+00:00', 'polarity': 0.1669}, {'post_id': 101, 'timestamp': '2023-06-06 13:20:39+00:00', 'polarity': 0.9755}]","[367, 281, 361, 101]",4
morgane_594,"[{'post_id': 163, 'timestamp': '2023-05-29 17:00:07+00:00', 'polarity': 0.8129}, {'post_id': 159, 'timestamp': '2023-05-29 17:00:17+00:00', 'polarity': 0.8213}, {'post_id': 282, 'timestamp': '2023-05-29 17:02:57+00:00', 'polarity': 0.2744}, {'post_id': 104, 'timestamp': '2023-06-01 19:22:32+00:00', 'polarity': 0.8129}]","[163, 159, 282, 104]",4
musakamand,"[{'post_id': 153, 'timestamp': '2023-06-04 08:06:03+00:00', 'polarity': 0.2749}, {'post_id': 155, 'timestamp': '2023-06-04 08:06:15+00:00', 'polarity': 0.2749}, {'post_id': 177, 'timestamp': '2023-06-04 08:19:52+00:00', 'polarity': 0.2959}]","[153, 155, 177]",3
mydezinsonspreadshirt,"[{'post_id': 569, 'timestamp': '2023-05-30 16:43:15+00:00', 'polarity': 0.1033}, {'post_id': 569, 'timestamp': '2023-05-30 16:43:19+00:00', 'polarity': 0.1033}, {'post_id': 566, 'timestamp': '2023-05-30 16:43:28+00:00', 'polarity': 0.1033}]","[569, 569, 566]",3
