commentUser,interaction_sequence,posts_sequence,sequence_length
blanco_724,"[{'post_id': 590, 'timestamp': '2023-04-21 22:50:35+00:00', 'polarity': -0.1396}, {'post_id': 687, 'timestamp': '2023-05-02 15:17:41+00:00', 'polarity': -0.082}, {'post_id': 490, 'timestamp': '2023-05-07 15:24:14+00:00', 'polarity': 0.0269}]","[590, 687, 490]",3
braaanddz,"[{'post_id': 456, 'timestamp': '2023-06-04 14:16:09+00:00', 'polarity': 0.1033}, {'post_id': 394, 'timestamp': '2023-06-09 06:06:54+00:00', 'polarity': 0.1033}, {'post_id': 453, 'timestamp': '2023-06-09 08:49:40+00:00', 'polarity': 0.1033}]","[456, 394, 453]",3
broccati_official,"[{'post_id': 638, 'timestamp': '2023-05-26 09:27:40+00:00', 'polarity': 0.1033}, {'post_id': 668, 'timestamp': '2023-05-31 15:03:40+00:00', 'polarity': 0.2749}, {'post_id': 602, 'timestamp': '2023-05-31 15:04:58+00:00', 'polarity': 0.2749}, {'post_id': 759, 'timestamp': '2023-05-31 15:05:11+00:00', 'polarity': 0.3024}]","[638, 668, 602, 759]",4
brown_girl__0007,"[{'post_id': 439, 'timestamp': '2023-05-28 03:04:50+00:00', 'polarity': 0.0354}, {'post_id': 439, 'timestamp': '2023-05-28 03:04:52+00:00', 'polarity': 0.3572}, {'post_id': 439, 'timestamp': '2023-05-28 03:04:53+00:00', 'polarity': 0.0872}]","[439, 439, 439]",3
cajuntrader1987,"[{'post_id': 325, 'timestamp': '2023-01-02 02:26:55+00:00', 'polarity': 0.0446}, {'post_id': 97, 'timestamp': '2023-02-27 22:59:02+00:00', 'polarity': 0.9447}, {'post_id': 95, 'timestamp': '2023-03-06 19:04:17+00:00', 'polarity': 0.9621}, {'post_id': 29, 'timestamp': '2023-06-01 01:24:36+00:00', 'polarity': 0.9842}]","[325, 97, 95, 29]",4
cal_teles,"[{'post_id': 634, 'timestamp': '2023-05-28 07:57:29+00:00', 'polarity': 0.4869}, {'post_id': 566, 'timestamp': '2023-05-29 06:35:32+00:00', 'polarity': 0.8778}, {'post_id': 458, 'timestamp': '2023-06-04 00:59:41+00:00', 'polarity': 0.4543}]","[634, 566, 458]",3
campanini_concept_simplyluxury,"[{'post_id': 598, 'timestamp': '2023-04-20 22:07:15+00:00', 'polarity': 0.728}, {'post_id': 588, 'timestamp': '2023-04-21 17:24:29+00:00', 'polarity': 0.728}, {'post_id': 596, 'timestamp': '2023-04-21 18:51:09+00:00', 'polarity': 0.728}]","[598, 588, 596]",3
candyalcantara,"[{'post_id': 764, 'timestamp': '2023-05-02 22:28:16+00:00', 'polarity': -0.0321}, {'post_id': 776, 'timestamp': '2023-05-04 20:27:54+00:00', 'polarity': 0.2331}, {'post_id': 608, 'timestamp': '2023-05-27 15:37:32+00:00', 'polarity': 0.0278}, {'post_id': 608, 'timestamp': '2023-05-27 15:37:35+00:00', 'polarity': 0.2749}]","[764, 776, 608, 608]",4
carla_pontessss,"[{'post_id': 764, 'timestamp': '2023-05-03 18:58:29+00:00', 'polarity': -0.025}, {'post_id': 764, 'timestamp': '2023-05-03 18:58:39+00:00', 'polarity': 0.083}, {'post_id': 764, 'timestamp': '2023-05-11 13:22:45+00:00', 'polarity': -0.0245}, {'post_id': 774, 'timestamp': '2023-05-11 13:57:19+00:00', 'polarity': -0.0275}, {'post_id': 772, 'timestamp': '2023-05-11 14:00:17+00:00', 'polarity': 0.0063}, {'post_id': 790, 'timestamp': '2023-05-11 14:02:18+00:00', 'polarity': -0.0374}, {'post_id': 776, 'timestamp': '2023-05-11 14:05:04+00:00', 'polarity': -0.0366}, {'post_id': 827, 'timestamp': '2023-05-12 16:38:30+00:00', 'polarity': -0.0233}, {'post_id': 778, 'timestamp': '2023-05-15 14:23:42+00:00', 'polarity': 0.0008}, {'post_id': 725, 'timestamp': '2023-05-16 22:25:40+00:00', 'polarity': -0.0563}, {'post_id': 725, 'timestamp': '2023-05-17 02:56:42+00:00', 'polarity': -0.0201}, {'post_id': 613, 'timestamp': '2023-05-19 03:39:44+00:00', 'polarity': -0.0573}, {'post_id': 632, 'timestamp': '2023-05-21 00:57:12+00:00', 'polarity': -0.002}, {'post_id': 600, 'timestamp': '2023-05-21 00:58:14+00:00', 'polarity': -0.0231}, {'post_id': 613, 'timestamp': '2023-05-21 00:58:39+00:00', 'polarity': 0.0384}, {'post_id': 603, 'timestamp': '2023-05-26 23:16:51+00:00', 'polarity': -0.0308}, {'post_id': 499, 'timestamp': '2023-06-08 01:26:58+00:00', 'polarity': -0.0879}, {'post_id': 506, 'timestamp': '2023-06-08 01:28:15+00:00', 'polarity': 0.078}, {'post_id': 504, 'timestamp': '2023-06-08 19:37:47+00:00', 'polarity': -0.0264}, {'post_id': 504, 'timestamp': '2023-06-08 19:38:05+00:00', 'polarity': -0.0248}, {'post_id': 498, 'timestamp': '2023-06-08 21:05:58+00:00', 'polarity': 0.0456}, {'post_id': 518, 'timestamp': '2023-06-09 16:36:57+00:00', 'polarity': -0.0072}, {'post_id': 518, 'timestamp': '2023-06-09 16:37:57+00:00', 'polarity': 0.0428}, {'post_id': 503, 'timestamp': '2023-06-09 16:38:49+00:00', 'polarity': 0.434}, {'post_id': 503, 'timestamp': '2023-06-09 16:39:11+00:00', 'polarity': 0.4271}]","[764, 764, 764, 774, 772, 790, 776, 827, 778, 725, 725, 613, 632, 600, 613, 603, 499, 506, 504, 504, 498, 518, 518, 503, 503]",25
carola_caia,"[{'post_id': 381, 'timestamp': '2023-05-29 22:49:31+00:00', 'polarity': -0.1102}, {'post_id': 382, 'timestamp': '2023-05-29 22:52:19+00:00', 'polarity': -0.0976}, {'post_id': 374, 'timestamp': '2023-05-29 23:09:01+00:00', 'polarity': -0.0895}, {'post_id': 253, 'timestamp': '2023-05-30 00:03:18+00:00', 'polarity': -0.0228}]","[381, 382, 374, 253]",4
castellidimitrii,"[{'post_id': 569, 'timestamp': '2023-05-31 14:59:48+00:00', 'polarity': 0.0996}, {'post_id': 644, 'timestamp': '2023-05-31 18:22:31+00:00', 'polarity': 0.0996}, {'post_id': 634, 'timestamp': '2023-05-31 18:32:12+00:00', 'polarity': 0.0996}, {'post_id': 458, 'timestamp': '2023-06-04 12:20:34+00:00', 'polarity': 0.0996}]","[569, 644, 634, 458]",4
catroy60,"[{'post_id': 435, 'timestamp': '2023-06-06 03:40:28+00:00', 'polarity': 0.1586}, {'post_id': 429, 'timestamp': '2023-06-06 03:41:31+00:00', 'polarity': 0.8947}, {'post_id': 514, 'timestamp': '2023-06-06 03:48:49+00:00', 'polarity': 0.607}]","[435, 429, 514]",3
chelsearose.h,"[{'post_id': 648, 'timestamp': '2023-05-26 20:40:50+00:00', 'polarity': 0.9828}, {'post_id': 648, 'timestamp': '2023-05-26 20:41:12+00:00', 'polarity': 0.9866}, {'post_id': 648, 'timestamp': '2023-05-26 20:41:18+00:00', 'polarity': 0.1975}]","[648, 648, 648]",3
costa_del_sol_updates,"[{'post_id': 536, 'timestamp': '2023-06-06 12:36:59+00:00', 'polarity': -0.2062}, {'post_id': 622, 'timestamp': '2023-06-06 12:45:39+00:00', 'polarity': 0.7951}, {'post_id': 680, 'timestamp': '2023-06-06 12:50:12+00:00', 'polarity': 0.0173}]","[536, 622, 680]",3
csillaggyorgy,"[{'post_id': 570, 'timestamp': '2023-03-30 14:17:50+00:00', 'polarity': -0.0861}, {'post_id': 567, 'timestamp': '2023-03-30 14:22:33+00:00', 'polarity': -0.1067}, {'post_id': 459, 'timestamp': '2023-04-19 13:28:48+00:00', 'polarity': -0.0639}]","[570, 567, 459]",3
dannafwells,"[{'post_id': 353, 'timestamp': '2022-11-23 05:05:45+00:00', 'polarity': 0.9784}, {'post_id': 315, 'timestamp': '2023-01-20 16:14:03+00:00', 'polarity': 0.9843}, {'post_id': 314, 'timestamp': '2023-01-20 16:14:48+00:00', 'polarity': 0.9886}, {'post_id': 255, 'timestamp': '2023-01-30 21:09:14+00:00', 'polarity': 0.9884}, {'post_id': 85, 'timestamp': '2023-03-22 19:45:18+00:00', 'polarity': 0.6904}, {'post_id': 83, 'timestamp': '2023-03-27 12:46:21+00:00', 'polarity': 0.8653}, {'post_id': 28, 'timestamp': '2023-05-15 02:24:31+00:00', 'polarity': 0.986}]","[353, 315, 314, 255, 85, 83, 28]",7
dapriince__7,"[{'post_id': 285, 'timestamp': '2023-04-05 08:27:09+00:00', 'polarity': 0.1033}, {'post_id': 326, 'timestamp': '2023-04-07 10:08:33+00:00', 'polarity': 0.728}, {'post_id': 270, 'timestamp': '2023-04-16 20:24:08+00:00', 'polarity': 0.1033}, {'post_id': 258, 'timestamp': '2023-04-23 22:38:07+00:00', 'polarity': 0.1033}, {'post_id': 222, 'timestamp': '2023-05-09 03:19:54+00:00', 'polarity': 0.6465}, {'post_id': 217, 'timestamp': '2023-05-09 03:22:29+00:00', 'polarity': 0.0941}]","[285, 326, 270, 258, 222, 217]",6
davood_bagheri_vafa,"[{'post_id': 232, 'timestamp': '2023-05-05 20:24:38+00:00', 'polarity': -0.122}, {'post_id': 232, 'timestamp': '2023-05-05 20:24:38+00:00', 'polarity': 0.2744}, {'post_id': 235, 'timestamp': '2023-05-05 20:24:52+00:00', 'polarity': 0.8402}, {'post_id': 235, 'timestamp': '2023-05-05 20:24:58+00:00', 'polarity': 0.1997}, {'post_id': 235, 'timestamp': '2023-05-05 20:24:59+00:00', 'polarity': 0.7074}, {'post_id': 235, 'timestamp': '2023-05-05 20:24:59+00:00', 'polarity': 0.2744}, {'post_id': 235, 'timestamp': '2023-05-05 20:25:03+00:00', 'polarity': -0.3531}]","[232, 232, 235, 235, 235, 235, 235]",7
