post_id,postUser,timestamp,likesCount,commentsCount,combined_keywords
66,stephaniebroek,2023-03-22 19:12:35+00:00,899,47,"['fashion', 'favorite', 'widow']"
67,stephaniebroek,2023-03-30 18:33:39+00:00,3462,79,"['march', 'camera', 'roll', '6', 'month']"
68,stephaniebroek,2023-03-26 18:51:51+00:00,1897,44,"['weekend', 'museum', 'fit', 'filippa_k', 'tuxedo', 'bag']"
69,stephaniebroek,2023-03-08 20:17:02+00:00,891,20,"['paris', 'fashion', 'last', 'year', 'fortunate', 'white', 'atelier', 'covered', 'fabric', 'martin']"
70,stephaniebroek,2023-03-21 19:10:16+00:00,1821,93,"['vintage', 'pov', 'new', 'filippa_k', 'store', 'obsessing']"
71,stephaniebroek,2023-03-19 19:29:55+00:00,1390,54,"['wear', 'summer', 'cosplay', 'home', 'ss23', 'samsoesamsoe', 'shorts']"
72,gisele,2023-03-22 12:09:04+00:00,359437,4552,"['new', 'vanityfair', 'lachlanbailey', 'styled', 'georgecortina', 'por', 'michelle']"
73,marianodivaio,2023-05-19 11:08:17+00:00,78977,538,"['many', 'times', 'week', 'u', 'train', 'beastmode', 'nevergiveup', 'mdvfitness']"
74,marianodivaio,2023-05-27 17:56:03+00:00,109884,1542,"['really', 'words', 'thing', 'say', 'thank', 'thanks', 'god', 'love']"
75,marianodivaio,2023-05-28 08:17:07+00:00,59519,642,"['merci', 'mdvfoundation', 'missionafrica', 'jesusisking', 'ph']"
76,marianodivaio,2023-05-15 12:02:09+00:00,60932,274,"['blast', 'playing', 'golf', 'marcosimonegolf', 'rcabrerabello', 'golfswing', 'golfaddict', 'golfpassion']"
77,gisele,2023-02-14 14:17:38+00:00,537505,4704,"['pure', 'love', 'convinced', 'little', 'angels']"
78,gisele,2022-12-18 13:14:51+00:00,1637385,14271,"['recharging', 'little', 'ones', 'country', 'recarregando']"
79,gisele,2022-12-27 13:08:57+00:00,1158317,10326,"['é', 'meu', 'rio', 'grande', 'sul', 'e', 'que']"
80,gisele,2023-02-20 20:58:40+00:00,1559091,20397,"['foi', 'muito', 'especial', 'voltar', 'ao']"
81,rhyancaminske,2023-04-11 00:47:33+00:00,130,1,"['streetstyle', 'finally', 'seeing', 'signs', 'spring', 'shop', 'momstyle', 'kids', 'mario']"
82,josefinehj,2023-05-29 10:28:32+00:00,10087,62,[]
